turbine_id,source,feature,grid_id,distance_km,distance_rank,is_nearest_grid,n_overlap_speed,l3_root_ms,mae_ms,rmse_ms,bias_nwp_minus_scada_ms,correlation,scada_mean_ms,nwp_mean_ms,scada_p90_ms,nwp_p90_ms,strong_wind_count,strong_wind_l3_root_ms,overall_rank,source_rank,n_overlap_direction,circular_mae_deg,circular_p90_abs_error_deg,mean_cosine_agreement,estimated_scada_offset_deg,offset_corrected_circular_mae_deg,offset_corrected_mean_cosine_agreement,raw_direction_rank,offset_corrected_direction_rank
vestas_wtg09,gfs,850hpa,4,19.472136483967155,2,False,26303,3.890815036721969,2.347952403416121,3.1295281165214095,0.6489549821036202,0.8285499606338802,7.15159202372353,7.800547005827149,12.816666666666668,15.632732510587838,5820,4.609524377068228,34.0,1.0,26303,25.686703232560184,66.48756741869833,0.8064877175344224,-2.330561503239598,25.66670391381068,0.807155358736325,15.0,44.0
vestas_wtg09,gfs,700hpa,4,19.472136483967155,2,False,26303,9.42371697888223,6.1389312246326835,7.953271414719425,5.0738924702725745,0.5972507522913826,7.15159202372353,12.225484493996102,12.816666666666668,23.61273251863741,5820,10.922317509633588,118.0,54.0,26303,45.85488262983419,129.46854627463668,0.571985989865322,-7.792399949322276,45.06818568765487,0.5773170312411317,84.0,91.0
vestas_wtg09,gfs,500hpa,4,19.472136483967155,2,False,26303,18.554684889519184,12.946351370737252,16.060865935431945,12.478043643292752,0.3608175901971806,7.15159202372353,19.629635667016284,12.816666666666668,34.40601409574282,5820,19.68838301459198,127.0,63.0,26303,51.65557185581257,147.31972081142337,0.49005555868246825,-3.5217506309707254,51.53223346786204,0.49098275445290607,101.0,111.0
vestas_wtg09,gfs,10m,5,4.79971221868665,1,True,26303,6.201408594043139,4.663384298716099,5.497501583021653,-4.631801577116255,0.6828933334865477,7.15159202372353,2.5197904466072747,12.816666666666668,4.724216548977003,5820,9.226700656543224,87.0,39.0,26303,32.66476612121096,77.99809724783238,0.7515241819973066,17.96256290266586,27.22654780482251,0.790031730737072,62.0,55.0
vestas_wtg09,gfs,80m,5,4.79971221868665,1,True,26303,5.0213614041725405,3.6079696115771616,4.371651955427586,-3.3685428021896295,0.6915441578656236,7.15159202372353,3.7830492215338998,12.816666666666668,7.750121520323273,5820,7.333004921301137,57.0,11.0,26303,29.289488175259372,68.45111398750201,0.7881190514927312,16.06319160681359,24.589817685460726,0.820139674179254,48.0,27.0
vestas_wtg09,gfs,100m,5,4.79971221868665,1,True,26303,4.874901960111072,3.490177713832452,4.237005138636279,-3.1843393511121643,0.6965010333765251,7.15159202372353,3.9672526726113655,12.816666666666668,8.22651135656544,5820,7.082337326661126,52.0,6.0,26303,28.73195828842574,66.75363304584987,0.7937857205368761,15.641793483851417,24.175507314167398,0.8243132112465112,45.0,19.0
vestas_wtg09,gfs,pbl,5,4.79971221868665,1,True,26303,5.330785629085995,3.699411104592815,4.568671836304186,-2.2922946033739304,0.6727087150766545,7.15159202372353,4.859297420349599,12.816666666666668,12.96465334044343,5820,7.484865485831097,64.0,16.0,26303,30.339713157435295,75.74456291894101,0.7684133568236483,14.981267112906666,27.043281634310016,0.7954504012075723,54.0,54.0
vestas_wtg09,gfs,850hpa,5,4.79971221868665,1,True,26303,4.932208127833356,2.937861847171942,3.9735012341726557,0.9144498546620055,0.8265816842904669,7.15159202372353,8.066041878385535,12.816666666666668,17.763656575693993,5820,6.600885418852365,53.0,7.0,26303,24.867204558671347,64.11922056682403,0.817288456647506,-0.2978083500947013,24.878702749295716,0.8172994968930976,6.0,32.0
vestas_wtg09,gfs,700hpa,5,4.79971221868665,1,True,26303,9.294462771276349,5.9264297028709025,7.769357629770951,4.6981602540019365,0.5560902645068856,7.15159202372353,11.849752277725464,12.816666666666668,22.934396647716415,5820,10.867335700120437,114.0,50.0,26303,47.03772878986975,130.7828041666042,0.5610511453732224,-8.203445836159778,46.19341405130136,0.5668513662451724,90.0,99.0
vestas_wtg09,gfs,500hpa,5,4.79971221868665,1,True,26303,18.324512364674252,12.798181433840105,15.871572572501313,12.33422052055604,0.34007020788920883,7.15159202372353,19.485812544279568,12.816666666666668,34.09293659045166,5820,18.914074543108065,123.0,59.0,26303,51.81993015770079,147.87360808689675,0.4881195230474408,-3.0429979447496667,51.73329352043669,0.48880875427418063,104.0,115.0
