tree_variant,pinn_weight,group,score,nmae,ficr
calibrated,0.7000000000000001,kpx_group_2,0.651668727076614,0.12775069362134733,0.4310881477745753
calibrated,0.7000000000000001,kpx_group_3,0.5862291761441547,0.13880267640982935,0.3112610286981389
calibrated,0.7000000000000001,mean,0.6245446053159528,,
calibrated,0.75,kpx_group_1,0.6353277095212955,0.11854128752350805,0.389196706566099
calibrated,0.75,kpx_group_2,0.6484518780530832,0.1287066375682304,0.4256103936743968
calibrated,0.75,kpx_group_3,0.5865924420217938,0.13964029738708025,0.3128251814306679
calibrated,0.75,mean,0.6234573431987241,,
calibrated,0.8,kpx_group_1,0.636189094888059,0.11902065400895226,0.3913988437850702
calibrated,0.8,kpx_group_2,0.6461137990980117,0.12979728141677713,0.42202487961280066
calibrated,0.8,kpx_group_3,0.5877040425896873,0.14065872130325877,0.3160668064826334
calibrated,0.8,mean,0.6233356455252527,,
calibrated,0.8500000000000001,kpx_group_1,0.6353446302703555,0.11962284662826167,0.3903121071689726
calibrated,0.8500000000000001,kpx_group_2,0.6435073699439444,0.13101634260584497,0.4180310824937338
calibrated,0.8500000000000001,kpx_group_3,0.5874662557389829,0.1418817999056513,0.31681431138361715
calibrated,0.8500000000000001,mean,0.6221060853177609,,
calibrated,0.9,kpx_group_1,0.6355444003628725,0.1203493633010167,0.39143816402676174
calibrated,0.9,kpx_group_2,0.6419184623225587,0.13236566297713862,0.4162025876222558
calibrated,0.9,kpx_group_3,0.5883090720466694,0.14336989393746497,0.3199880380308037
calibrated,0.9,mean,0.6219239782440336,,
calibrated,0.9500000000000001,kpx_group_1,0.6348167822080113,0.12123428714887204,0.3908678515648948
calibrated,0.9500000000000001,kpx_group_2,0.6393889101945671,0.13384482188878913,0.4126226422779234
calibrated,0.9500000000000001,kpx_group_3,0.5876344125523858,0.14508522664610435,0.320354051750876
calibrated,0.9500000000000001,mean,0.6206133683183214,,
calibrated,1.0,kpx_group_1,0.6340619691016764,0.12226100923472152,0.39038494743807445
calibrated,1.0,kpx_group_2,0.6338619291485305,0.135434635822841,0.4031584941199019
calibrated,1.0,kpx_group_3,0.5886375056179982,0.14700501642671815,0.32428002766271447
calibrated,1.0,mean,0.6188538012894017,,
