group,trial,mean_score,mean_nmae,mean_ficr,worst_fold,std_score,min_output_ratio,weight_policy,random_state,n_jobs,verbose,objective,n_estimators,learning_rate,num_leaves,max_depth,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda,min_split_gain
kpx_group_3,10,0.582761528479287,0.1431015015940748,0.3086245585526487,0.5776430862801756,0.005118442199111395,0.1,actual_sqrt,20260709010,-1,-1,regression_l1,1309,0.025977824569495742,64,4,80,0.7483047257974422,0.6741920875741323,0.0011754613944447861,2.8931055157305883,0.04064957743020335
kpx_group_3,16,0.5823577987294604,0.14305863616530778,0.30777423362422845,0.5775866604883053,0.004771138241154993,0.1,actual_sqrt,20260709016,-1,-1,regression_l1,1604,0.0189346189925171,32,4,160,0.8172791984986163,0.9379639695899326,0.0003121677007263138,0.8275400307937751,0.00034299202760309247
kpx_group_3,4,0.5809400970168709,0.14290163304162118,0.3047818270753629,0.5744240866380347,0.006516010378836201,0.1,actual_sqrt,20260709004,-1,-1,regression_l1,695,0.026571387858145536,16,8,160,0.9067138272914178,0.839427774232719,0.5718620965366259,0.06306516429621949,8.819472974999398e-05
kpx_group_3,6,0.578779219839092,0.1436816598606322,0.30124009953881614,0.5754739539744667,0.0033052658646253175,0.1,actual_sqrt,20260709006,-1,-1,regression_l1,829,0.012942494643013938,64,10,80,0.6350096938924983,0.9680273116221814,0.00021746037317566062,0.012175012891523316,2.820528779566711e-05
kpx_group_3,12,0.5769972799701952,0.14525621564320668,0.2992507755835973,0.5698959730454534,0.007101306924741924,0.03,actual_sqrt,20260709012,-1,-1,regression_l1,1328,0.02630114030922464,48,6,120,0.9786320627473835,0.8915158136634007,0.001979401872207916,1.0822753378400685,2.785976341013335e-05
kpx_group_3,14,0.5760550190766743,0.14349776958514981,0.29560780773849854,0.5722581447869439,0.003796874289730412,0.1,none,20260709014,-1,-1,regression_l1,1627,0.02763260623720969,96,8,300,0.7540601783778003,0.7417798556586495,4.65499540224762,0.028496863871465467,7.526268549331547e-05
kpx_group_3,15,0.5743599106038445,0.1443400612187482,0.2930598824264372,0.5704990416261749,0.0038608689776695737,0.05,metric_x2,20260709015,-1,-1,regression_l1,1476,0.016676297702657807,32,6,220,0.6470409118909811,0.7278591519307172,0.02162807135707388,3.7788967409967382,0.004691802173452715
kpx_group_3,11,0.5740779638943831,0.14465216431945144,0.2928080921082177,0.567347955862497,0.006730008031886114,0.03,actual_sqrt,20260709011,-1,-1,regression_l1,847,0.026083973303104982,64,4,220,0.7011127939086139,0.7406395965697776,4.592474932185468,0.2595587525512753,0.013912280967014776
kpx_group_3,17,0.5740018567522034,0.14478766943722005,0.29279138294162677,0.5700680096684237,0.003933847083779585,0.03,metric_x2,20260709017,-1,-1,regression_l1,1031,0.013560473684662637,24,-1,80,0.8124133895375284,0.7686533082383473,0.029580879557168413,0.0026450013203379295,0.00018557526885881273
kpx_group_3,5,0.5737814892656009,0.14547625460037086,0.29303923313157265,0.567708820586112,0.006072668679488857,0.03,actual_sqrt,20260709005,-1,-1,regression_l1,931,0.04869207245327621,48,5,220,0.9679804749932615,0.9192211936042041,0.0009152782324342402,0.06797952982339964,0.00893722682587184
kpx_group_3,9,0.5734095517847381,0.14723227591884586,0.294051379488322,0.5699628589064751,0.003446692878262936,0.15,none,20260709009,-1,-1,regression_l1,572,0.022546460927438883,96,-1,120,0.6207704590156076,0.7139525081342789,0.0029491192992325815,0.05942350801265337,0.12660479053649298
