variant,group,pred_year,mse,rmse,mae,bias,metric_mse,metric_rmse,metric_mae,metric_bias,score,nmae,ficr,pred_min_ratio,pred_max_ratio,n
dynamic_pinn_floor20,kpx_group_2,2022,0.033389213309744814,0.1827271553703631,0.1514983216309078,0.09926774238205772,0.029089374218131184,0.17055607353047028,0.12744953314899918,0.04426465472766885,0.6617591315019389,0.12744953314899918,0.4509677961528771,0.2,0.9853645370370371,8664
dynamic_fixed_50_15_35,kpx_group_2,2022,0.028293233179804214,0.16820592492479036,0.13770762350475646,0.08013788069627459,0.02630791022709386,0.16219713384364676,0.1210206950934858,0.02933241353233013,0.6717312434394248,0.1210206950934858,0.4644831819723354,0.14232625902617002,0.966695822233079,8664
dynamic_pinn_raw,kpx_group_2,2023,0.027185055276383107,0.1648789109509858,0.12139264585623746,0.06916915872098335,0.03289329365235338,0.18136508388428402,0.13229304298720973,0.04893393909874542,0.6550346662911212,0.13229304298720973,0.4423623755694521,0.04158955138888889,0.9854772037037037,8758
dynamic_pinn_floor20,kpx_group_2,2023,0.03541247897641609,0.18818203680589732,0.15464092094936482,0.1089000379394395,0.03256225894042955,0.1804501563879332,0.13316515666010365,0.05998308625438098,0.6535987457577517,0.13316515666010365,0.4403626481756071,0.2,0.9854772037037037,8758
dynamic_fixed_50_15_35,kpx_group_2,2023,0.031284711397839254,0.17687484670760636,0.1438331649427532,0.09465306202372911,0.030353051562560653,0.1742212718429086,0.12874100769572572,0.05005643674855496,0.6597075308581658,0.12874100769572572,0.4481560694120573,0.1390406830076331,0.9675955961847867,8758
dynamic_pinn_raw,kpx_group_2,2024,0.029234089283242077,0.17097979203181315,0.12122066827489997,0.08272961769746626,0.03094346771302802,0.17590755445127426,0.12669011295551796,0.0590108241552247,0.6665884252212937,0.12669011295551796,0.4598669633981054,0.021343270402777777,0.9811562037037036,8778
dynamic_pinn_floor20,kpx_group_2,2024,0.039104938856424264,0.19774968737377124,0.16018990284454823,0.12701344262845665,0.03070886862667037,0.1752394608148244,0.12745876779104517,0.06893325175871963,0.6653601814154847,0.12745876779104517,0.4581791306220145,0.2,0.9811562037037036,8778
dynamic_fixed_50_15_35,kpx_group_2,2024,0.03351897715351748,0.1830818864702827,0.14654034468451077,0.10898115820666338,0.02730554959986031,0.16524390941835135,0.11943688828782988,0.053179947190051695,0.6838109622309779,0.11943688828782988,0.48705881274978563,0.1493105020227967,0.9653808147144796,8778
dynamic_pinn_raw,kpx_group_3,2023,0.035764801051525755,0.1891158402977544,0.13019256773921836,0.07659526821684606,0.04886790270909401,0.2210608574784193,0.16439613499427627,0.06872228632109405,0.583602048353882,0.16439613499427627,0.33160023170204034,0.01141515,0.9955467619047619,8759
dynamic_pinn_floor20,kpx_group_3,2023,0.04700328039342512,0.2168023994180533,0.17851638121904542,0.13223736364561076,0.048342727963552254,0.21986979775210658,0.16457939676363384,0.0809487149138888,0.5836730432223611,0.16457939676363384,0.3319254832083562,0.2,0.9955467619047619,8759
dynamic_fixed_50_15_35,kpx_group_3,2023,0.03897079475725832,0.1974102194853608,0.15943346294767985,0.10539651476788968,0.04242949000581339,0.20598419843719418,0.15369041416147322,0.05604039784070121,0.5944604313633546,0.15369041416147322,0.3426112768881823,0.14439685633963525,0.9852242791033435,8759
dynamic_pinn_raw,kpx_group_3,2024,0.024083863538926796,0.1551897662184166,0.10496734606816106,0.05435874581103231,0.034844651541818865,0.1866672213909525,0.1407021356885489,0.046255951280820974,0.6133393126576185,0.1407021356885489,0.36738076100378614,0.003132914761904762,0.9752206333333334,8778
dynamic_pinn_floor20,kpx_group_3,2024,0.03755233674124215,0.19378425307862904,0.1658039118026126,0.1252624072705031,0.03418404455648164,0.18488927647779263,0.14007715110537514,0.062137307307114704,0.6164149894794064,0.14007715110537514,0.372907130064188,0.2,0.9752206333333334,8778
dynamic_fixed_50_15_35,kpx_group_3,2024,0.030784257235489835,0.1754544306522062,0.14949433166276008,0.09982746010210007,0.02888179159763686,0.16994643743731982,0.13018331501413824,0.034700222907376566,0.6062017385648766,0.13018331501413824,0.3425867921438915,0.1315024460005704,0.9507881500695262,8778
