fold,candidate,group,pinn_weight,score,nmae,ficr,n
year_2024,global_pinn_0.05,mean,0.05000000000000001,0.6073386677695234,,,26334
year_2024,global_pinn_0.10,kpx_group_1,0.1,0.6182445717569864,0.1214112622438621,0.35790040575783494,8778
year_2024,global_pinn_0.10,kpx_group_2,0.1,0.6451659998877994,0.12378678499415144,0.41411878476975034,8778
year_2024,global_pinn_0.10,kpx_group_3,0.1,0.565438776837921,0.14401612665877436,0.27489368033461625,8778
year_2024,global_pinn_0.10,mean,0.10000000000000002,0.6096164494942357,,,26334
year_2024,global_pinn_0.20,kpx_group_1,0.2,0.6224350620089445,0.11954685688760985,0.36441698090549896,8778
year_2024,global_pinn_0.20,kpx_group_2,0.2,0.6481634100335047,0.12268513758787125,0.4190119576548808,8778
year_2024,global_pinn_0.20,kpx_group_3,0.2,0.5713177665759174,0.14007012225021967,0.2827056554020544,8778
year_2024,global_pinn_0.20,mean,0.20000000000000004,0.6139720795394555,,,26334
year_2024,global_pinn_0.30,kpx_group_1,0.3,0.6249787185951745,0.11809029467967663,0.36804773187002576,8778
year_2024,global_pinn_0.30,kpx_group_2,0.3,0.6507701133225756,0.1221592556631798,0.423699482308331,8778
year_2024,global_pinn_0.30,kpx_group_3,0.3,0.5778855571344275,0.13678463572382607,0.2925557499926809,8778
year_2024,global_pinn_0.30,mean,0.3,0.6178781296840592,,,26334
year_2024,global_pinn_0.40,kpx_group_1,0.4,0.6274475156754074,0.11714562973390474,0.3720406610847195,8778
year_2024,global_pinn_0.40,kpx_group_2,0.4,0.6534372087605059,0.12211833152322633,0.4289927490442382,8778
year_2024,global_pinn_0.40,kpx_group_3,0.4,0.5861842236192744,0.13434603101607956,0.3067144782546282,8778
year_2024,global_pinn_0.40,mean,0.4000000000000001,0.6223563160183959,,,26334
year_2024,global_pinn_0.50,kpx_group_1,0.5,0.6288930563168813,0.11666407805855186,0.3744501906923144,8778
year_2024,global_pinn_0.50,kpx_group_2,0.5,0.655655695180113,0.12256280453343936,0.43387419489366535,8778
year_2024,global_pinn_0.50,kpx_group_3,0.5,0.5920201088713601,0.132687217964281,0.31672743570700124,8778
year_2024,global_pinn_0.50,mean,0.5,0.6255229534561182,,,26334
year_2024,global_pinn_1.00,kpx_group_1,1.0,0.625685078429971,0.12106593272646458,0.3724360895864066,8778
year_2024,global_pinn_1.00,kpx_group_2,1.0,0.6478025911577862,0.1325884928656893,0.42819367518126156,8778
year_2024,global_pinn_1.00,kpx_group_3,1.0,0.6027035039553574,0.13812965262222054,0.3435366605329355,8778
year_2024,global_pinn_1.00,mean,1.0,0.6253970578477048,,,26334
year_2024,holdout_best_weights,kpx_group_1,0.55,0.6290277195387274,0.11659566947072018,0.37465110854817496,8778
year_2024,holdout_best_weights,kpx_group_2,0.55,0.6557956976980412,0.12297220306201655,0.4345635984580991,8778
year_2024,holdout_best_weights,kpx_group_3,0.7,0.5999514808800838,0.1321731748485908,0.3320761366087583,8778
year_2024,holdout_best_weights,mean,0.6,0.6282582993722841,,,26334
