variant,pinn_weight,tree_weight,tcn_family_weight,mean_score,mean_nmae,mean_ficr,worst_fold,std_score,n_folds
pinn0.05_tree0.70_tcn0.25,0.05,0.7000000000000001,0.2499999999999999,0.6294202231959174,0.1262681943343323,0.38510864072616696,0.6141349585413519,0.01343648272260306,3
pinn0.35_tree0.50_tcn0.15,0.35000000000000003,0.5,0.1499999999999999,0.6294074142443039,0.12768209113313272,0.38649691962174054,0.6153111289650761,0.012315433906370377,3
pinn0.15_tree0.65_tcn0.20,0.15000000000000002,0.65,0.19999999999999996,0.629384933550845,0.12637393990591178,0.38514380700760187,0.6139417718136756,0.013627359502787912,3
pinn0.15_tree0.30_tcn0.55,0.15000000000000002,0.30000000000000004,0.5499999999999999,0.6293695600192497,0.12899482963508108,0.38773394967358055,0.6171375002132915,0.010754861079220617,3
pinn0.40_tree0.30_tcn0.30,0.4,0.30000000000000004,0.29999999999999993,0.6293638753379148,0.12912050916988072,0.3878482598457104,0.6176688264985318,0.010242364339586663,3
pinn0.10_tree0.70_tcn0.20,0.1,0.7000000000000001,0.19999999999999996,0.6293595424445243,0.12630166187674027,0.38502074676578885,0.613363725797627,0.014112316374637718,3
pinn0.10_tree0.65_tcn0.25,0.1,0.65,0.25,0.6293563753514045,0.1262766075028495,0.38498935820565855,0.6139626691402135,0.013619652025390743,3
pinn0.40_tree0.40_tcn0.20,0.4,0.4,0.19999999999999996,0.6292802983247858,0.12844520327443726,0.3870057999240089,0.6157498285113695,0.01172417540385809,3
pinn0.15_tree0.25_tcn0.60,0.15000000000000002,0.25,0.6,0.6292562089243273,0.12982484514440676,0.3883372629930615,0.6174893369130755,0.010506841983564564,3
pinn0.00_tree0.45_tcn0.55,0.0,0.45,0.55,0.6292152589378962,0.12809684895658408,0.3865273668323764,0.6167138782469831,0.01085164402501056,3
pinn0.40_tree0.35_tcn0.25,0.4,0.35000000000000003,0.24999999999999994,0.6292140471135529,0.1287294189324565,0.38715751315956215,0.6164446398721887,0.011071298707931169,3
pinn0.20_tree0.65_tcn0.15,0.2,0.65,0.15000000000000002,0.6292075888271095,0.12659085610533785,0.3850060337595569,0.6136510006719946,0.013729287227566639,3
pinn0.35_tree0.55_tcn0.10,0.35000000000000003,0.55,0.09999999999999987,0.6291609683324949,0.12767573646071487,0.3859976731257048,0.6150128688924108,0.012397545415970535,3
pinn0.10_tree0.30_tcn0.60,0.1,0.30000000000000004,0.6,0.6291568980992821,0.12936737786177352,0.3876811740603376,0.6174665170191879,0.010260913558529617,3
pinn0.40_tree0.45_tcn0.15,0.4,0.45,0.14999999999999997,0.6290887370452878,0.12827296654942258,0.3864504406399982,0.6152644507377444,0.012045318350605532,3
pinn0.40_tree0.20_tcn0.40,0.4,0.2,0.39999999999999997,0.6290816203698623,0.13023226073759567,0.3883955014773202,0.617947849228402,0.01007811493738013,3
pinn0.35_tree0.15_tcn0.50,0.35000000000000003,0.15000000000000002,0.4999999999999999,0.6290642356792847,0.13085831286599028,0.3889867842245598,0.6186793932500633,0.009550263656407132,3
pinn0.45_tree0.25_tcn0.30,0.45,0.25,0.30000000000000004,0.629057748420425,0.12996614980983387,0.3880816466506838,0.617983634413298,0.00970127052549383,3
pinn0.05_tree0.35_tcn0.60,0.05,0.35000000000000003,0.5999999999999999,0.6290444493523721,0.12901966461564052,0.3871085633203848,0.6171704327163083,0.010301873542525639,3
pinn0.20_tree0.20_tcn0.60,0.2,0.2,0.6000000000000001,0.6290251233716558,0.13038166463207543,0.38843191137538713,0.6175923425488622,0.010323989372668922,3
pinn0.40_tree0.50_tcn0.10,0.4,0.5,0.09999999999999998,0.629000548143435,0.12821763444640946,0.3862187307332794,0.6156812004190276,0.011666439703265937,3
pinn0.05_tree0.75_tcn0.20,0.05,0.75,0.19999999999999996,0.6289942305711803,0.12634723071454546,0.3843356918569061,0.6134846017549872,0.013780136774198657,3
pinn0.25_tree0.65_tcn0.10,0.25,0.65,0.09999999999999998,0.6289728068063817,0.12693640370369044,0.3848820173164538,0.6128934258720785,0.014258473372838948,3
pinn0.00_tree0.40_tcn0.60,0.0,0.4,0.6,0.6289654232416361,0.1287883924283907,0.3867192389116629,0.6165722484819534,0.010733467046783147,3
pinn0.00_tree0.70_tcn0.30,0.0,0.7000000000000001,0.29999999999999993,0.6289458767469446,0.1263661704655014,0.38425792395939046,0.6137467811452116,0.013399873593414902,3
pinn0.45_tree0.20_tcn0.35,0.45,0.2,0.35000000000000003,0.6289250525249874,0.1305119207622879,0.3883620258122627,0.6183229534439502,0.009550490763948,3
pinn0.15_tree0.70_tcn0.15,0.15000000000000002,0.7000000000000001,0.1499999999999999,0.6288966947443003,0.12645912459572156,0.3842525140843224,0.6128077183286139,0.014293066617038368,3
pinn0.20_tree0.15_tcn0.65,0.2,0.15000000000000002,0.65,0.6288643545647489,0.13135478670795034,0.3890834958374481,0.6182510008583394,0.00997301721428324,3
pinn0.15_tree0.20_tcn0.65,0.15000000000000002,0.2,0.6499999999999999,0.6288579276368254,0.13075450941886016,0.38847036469251095,0.6175750371705281,0.010146191184063505,3
pinn0.45_tree0.35_tcn0.20,0.45,0.35000000000000003,0.2,0.6288255106033629,0.12919957885669767,0.3868506000634235,0.6165134734544823,0.010664373822770532,3
pinn0.10_tree0.75_tcn0.15,0.1,0.75,0.15000000000000002,0.6288228910330429,0.1264414768413682,0.384087258907454,0.6123750858466739,0.014679866003175751,3
pinn0.30_tree0.15_tcn0.55,0.30000000000000004,0.15000000000000002,0.5499999999999999,0.6288155228196075,0.13089498638208055,0.3885260320212957,0.6184190795125393,0.009777041084689112,3
pinn0.45_tree0.30_tcn0.25,0.45,0.30000000000000004,0.25,0.628808246695456,0.12952886309052844,0.3871453564814404,0.6179299164487276,0.009467061726787783,3
