variant,group,pred_year,mse,rmse,mae,bias,metric_mse,metric_rmse,metric_mae,metric_bias,score,nmae,ficr,pred_min_ratio,pred_max_ratio,n
share_a050_fixed_50_15_35,kpx_group_1,2022,0.03073747889185201,0.17532107372433017,0.14717376656591227,0.10778697094808642,0.03080152045304012,0.17550361948700693,0.13599229982691977,0.07298506252395759,0.6200049039557445,0.13599229982691977,0.37600210773840864,0.1422236680719216,0.9971751333400193,8664
share_a050_tcn,kpx_group_1,2023,0.027884640816900647,0.16698694804355413,0.13416264365532443,0.0654084595137065,0.0296279684192535,0.17212776771704646,0.12780344753733788,0.018513124333825792,0.640592991711225,0.12780344753733788,0.4089894309597879,0.09946953564814816,0.9885462453703704,8757
share_a050_fixed_50_15_35,kpx_group_1,2023,0.029073801350502974,0.17051041419955257,0.14008486973593826,0.07324838020933362,0.02857731450337877,0.16904826087061284,0.12636626572104917,0.020124272839495947,0.6444583777711179,0.12636626572104917,0.41528302126328503,0.14657326997470632,0.988782881438476,8757
share_a050_tcn,kpx_group_1,2024,0.02788063446483094,0.16697495160900913,0.1317939489643743,0.07664106585944239,0.022117501723987184,0.14871954049144714,0.11195946447080987,0.014919575135253112,0.6693624940256582,0.11195946447080987,0.4506844525221262,0.08153939953703704,0.9731647916666666,8778
share_a050_fixed_50_15_35,kpx_group_1,2024,0.030570876674365397,0.17484529354365075,0.14167982241451454,0.09064432556984141,0.021984672512596115,0.14827229178978826,0.11242958160467897,0.02263411331393122,0.6653164386535603,0.11242958160467897,0.44306245891179946,0.1452333078234628,0.9850943535397005,8778
share_a050_tcn,kpx_group_2,2022,0.025959635657291945,0.16111994183617354,0.12857872870436093,0.06366322830594777,0.026686137585986574,0.16335892257843332,0.12201738754297727,0.018629906761386844,0.6608441869038595,0.12201738754297727,0.44370576135069634,0.08541571712962963,0.9572733888888888,8664
share_a050_fixed_50_15_35,kpx_group_2,2022,0.028293233179804214,0.16820592492479036,0.13770762350475646,0.08013788069627459,0.02630791022709386,0.16219713384364676,0.1210206950934858,0.02933241353233013,0.6717312434394248,0.1210206950934858,0.4644831819723354,0.14232625902617002,0.966695822233079,8664
share_a050_tcn,kpx_group_2,2023,0.029981488351356566,0.1731516339840793,0.1381261266810366,0.08581780534319099,0.03128670600251167,0.17688048508106163,0.131344667250318,0.04765517542042179,0.651005744596709,0.131344667250318,0.4333561564437361,0.061199622777777775,0.9520704074074073,8758
share_a050_fixed_50_15_35,kpx_group_2,2023,0.031284711397839254,0.17687484670760636,0.1438331649427532,0.09465306202372911,0.030353051562560653,0.1742212718429086,0.12874100769572572,0.05005643674855496,0.6597075308581658,0.12874100769572572,0.4481560694120573,0.1390406830076331,0.9675955961847867,8758
share_a050_tcn,kpx_group_2,2024,0.030409322159725187,0.17438268881894553,0.1369757226739478,0.09298277105357743,0.026255166160220018,0.16203445979241582,0.11672977237122448,0.0391232351277335,0.6841065852762103,0.11672977237122448,0.484942942923645,0.09488035185185187,0.9445273101851852,8778
share_a050_fixed_50_15_35,kpx_group_2,2024,0.03351897715351748,0.1830818864702827,0.14654034468451077,0.10898115820666338,0.02730554959986031,0.16524390941835135,0.11943688828782988,0.053179947190051695,0.6838109622309779,0.11943688828782988,0.48705881274978563,0.1493105020227967,0.9653808147144796,8778
share_a050_tcn,kpx_group_3,2023,0.03500569442055154,0.18709808769880984,0.1463455520265792,0.08301513905252803,0.04143392540172258,0.20355324954842302,0.1523355389469284,0.03789132866433828,0.5884673565265232,0.1523355389469284,0.3292702519999748,0.08343355761904761,0.9555233428571429,8759
share_a050_fixed_50_15_35,kpx_group_3,2023,0.03897079475725832,0.1974102194853608,0.15943346294767985,0.10539651476788968,0.04242949000581339,0.20598419843719418,0.15369041416147322,0.05604039784070121,0.5944604313633546,0.15369041416147322,0.3426112768881823,0.14439685633963525,0.9852242791033435,8759
share_a050_tcn,kpx_group_3,2024,0.02801146039307841,0.16736624627767216,0.13947709233829106,0.08193996647307826,0.028412940522516198,0.16856138502787701,0.12936930821884113,0.01877326556734247,0.6060465351884301,0.12936930821884113,0.3414623785957014,0.049649973333333326,0.987062,8778
share_a050_fixed_50_15_35,kpx_group_3,2024,0.030784257235489835,0.1754544306522062,0.14949433166276008,0.09982746010210007,0.02888179159763686,0.16994643743731982,0.13018331501413824,0.034700222907376566,0.6062017385648766,0.13018331501413824,0.3425867921438915,0.1315024460005704,0.9507881500695262,8778
share_a025_tcn,kpx_group_1,2022,0.025314419738106494,0.1591050588074009,0.13106756306190365,0.07957389310961065,0.025646806934631047,0.16014620487114595,0.12349986380622915,0.04112520419273825,0.6338772961136169,0.12349986380622915,0.3912544560334628,0.08282547824074074,0.9761373287037036,8664
share_a025_fixed_50_15_35,kpx_group_1,2022,0.030080702883593245,0.17343789344775046,0.145837507932679,0.10507131805947699,0.029538481190183024,0.17186762694057023,0.13318699863736996,0.06797313802780165,0.6244516086755835,0.13318699863736996,0.3820902159885368,0.14086129242377346,0.9922711925992785,8664
share_a025_tcn,kpx_group_1,2023,0.028547630758409038,0.16896044140096533,0.13760747071274199,0.07153899529233756,0.029217175522916253,0.17093032359097743,0.12862557981173905,0.02360440732009237,0.635598749658087,0.12862557981173905,0.39982307912791315,0.10566504212962961,0.9669305972222222,8757
share_a025_fixed_50_15_35,kpx_group_1,2023,0.029307864352722417,0.17119539816456053,0.14129198891085668,0.07539406773185447,0.028399793809798672,0.1685223837055442,0.126656284648262,0.021906221884689242,0.6426803850255711,0.126656284648262,0.41201705469940414,0.15109268861465866,0.9814742964847724,8757
share_a025_tcn,kpx_group_1,2024,0.028482887260270876,0.16876873898998854,0.132673452669646,0.08083822926481661,0.022220609159687037,0.14906578802557963,0.11185561558775604,0.020653051737767533,0.671903827578169,0.11185561558775604,0.455663270744094,0.06289818657407407,0.9628341805555556,8778
share_a025_fixed_50_15_35,kpx_group_1,2024,0.030820828402920126,0.1755586181391279,0.14206147010706288,0.09211333276172241,0.022058850404315804,0.14852222192088227,0.11252312108841091,0.024640830124811268,0.6663911377314556,0.11252312108841091,0.44530539655132223,0.13605162872760432,0.9805969268907683,8778
share_a025_tcn,kpx_group_2,2022,0.027077655968744965,0.1645528971751788,0.13216454722649704,0.07094704532009849,0.026782393447982188,0.1636532720356736,0.12236060748554092,0.02486273312579146,0.6641317366981824,0.12236060748554092,0.4506240808819057,0.08774323425925926,0.9497431018518518,8664
share_a025_fixed_50_15_35,kpx_group_2,2022,0.02877001629323677,0.1696172641367522,0.13902088815471536,0.08268721665122734,0.026400743970068138,0.16248305748621342,0.1212335589926328,0.031513902759871745,0.673422547236751,0.1212335589926328,0.46807865346613475,0.14477463646445207,0.9621907372793753,8664
share_a025_tcn,kpx_group_2,2023,0.028902288407742806,0.17000673047777493,0.13634676664467035,0.07857749509305197,0.030234719881247953,0.17388133850775347,0.1293773288000007,0.03695071567448477,0.6463733955923411,0.1293773288000007,0.42212411998468286,0.09503765925925925,0.939632587962963,8758
share_a025_fixed_50_15_35,kpx_group_2,2023,0.030753278153206935,0.17536612601413917,0.14286253899365356,0.09211895343618046,0.02971486536895679,0.17238000281052554,0.12749590475825695,0.04630987583747699,0.658792629657728,0.12749590475825695,0.44508116407371284,0.14933086582241548,0.9618371061384904,8758
share_a025_tcn,kpx_group_2,2024,0.02983932553759188,0.17274063082434277,0.13652730998211018,0.09136953815602769,0.02549744801166111,0.15967920344134082,0.11583388803651042,0.03617252929668892,0.6817894584193359,0.11583388803651042,0.47941280487518223,0.09848363148148148,0.9256778888888889,8778
share_a025_fixed_50_15_35,kpx_group_2,2024,0.033297219931804824,0.18247525841002343,0.1462706765535078,0.10841652669252097,0.02697855110866548,0.1642514873864632,0.11892447657196392,0.0521472001491861,0.6838569181145364,0.11892447657196392,0.4866383128010367,0.14916304424205992,0.958612621658924,8778
share_a025_tcn,kpx_group_3,2023,0.03495325291604974,0.18695789075631372,0.14631333185868411,0.08150011287769586,0.04146078244659831,0.20361920942435247,0.15221017429742503,0.03508782498715946,0.5869078922061907,0.15221017429742503,0.3260259587098063,0.07511463,0.9360441666666666,8759
share_a025_fixed_50_15_35,kpx_group_3,2023,0.03891970671964413,0.19728078142496325,0.15929359118363137,0.10486625560669843,0.042366981103989176,0.2058324102370401,0.15341465583641106,0.055059171553688606,0.5938427401563212,0.15341465583641106,0.3411001361490536,0.14249199147418293,0.9783082307700101,8759
share_a025_tcn,kpx_group_3,2024,0.027890534095824274,0.1670045930381086,0.13965612421844656,0.08109835339607678,0.028110945064875874,0.16766318935555255,0.12949530063403417,0.016922242452631252,0.6007918798373528,0.12949530063403417,0.33107906030873985,0.056884941142857144,0.9416890333333334,8778
share_a025_fixed_50_15_35,kpx_group_3,2024,0.03074412219809148,0.1753400188151338,0.14953527867032987,0.09953289552514955,0.028725799693460445,0.16948687174368535,0.13018046802537325,0.03405236481722764,0.6031823708219707,0.13018046802537325,0.3365452096693147,0.13431540053390373,0.9352660666719215,8778
share_a000_tcn,kpx_group_1,2022,0.02359253729249623,0.15359862399284777,0.12681317133716197,0.06541085484041939,0.023939169663241507,0.15472288021893046,0.1189436904424134,0.02071812357982521,0.6322761512954536,0.1189436904424134,0.38349599303332055,0.08855391712962964,0.9089312175925927,8664
share_a000_fixed_50_15_35,kpx_group_1,2022,0.02918420236490433,0.17083384431928098,0.1436580914355699,0.10011425466526007,0.028486234427219682,0.16877865512919482,0.13048793488306873,0.06083065981328208,0.6265389665153744,0.13048793488306873,0.38356586791381764,0.13984541709969936,0.9672392363492784,8664
share_a000_tcn,kpx_group_1,2023,0.027846756021860156,0.16687347309222086,0.1355617243357219,0.06275380076368008,0.02890635479716971,0.1700186895525598,0.12772640863549042,0.011992339526692014,0.6308651370917574,0.12772640863549042,0.3894566828190052,0.09981211898148147,0.9524978148148148,8757
share_a000_fixed_50_15_35,kpx_group_1,2023,0.029064685747774165,0.17048368176389836,0.14049749374440929,0.07231924964682436,0.028313530664762446,0.1682662493334966,0.126216818190136,0.017841998156999116,0.6408903768190168,0.126216818190136,0.40799757182816965,0.14723297801360924,0.9764228226421797,8757
share_a000_tcn,kpx_group_1,2024,0.02770707177611323,0.16645441350746223,0.13218806930581398,0.07524758446408002,0.021656849657406593,0.14716266393826458,0.11156641833617291,0.011381295878618145,0.6604484113060841,0.11156641833617291,0.43246324094834115,0.07165584675925926,0.9398926064814814,8778
share_a000_fixed_50_15_35,kpx_group_1,2024,0.030534628154057667,0.17474160395869573,0.14177775180972096,0.09015660708146461,0.02180453107007021,0.14766357394452503,0.11222161423609221,0.021395715574108982,0.6656721227737593,0.11222161423609221,0.4435658597836109,0.1387297140053821,0.9719778706407682,8778
share_a000_tcn,kpx_group_2,2022,0.026306581519833006,0.16219303782787042,0.13124005775033343,0.061598233193632224,0.026015551578493078,0.16129337115484033,0.12163990570542278,0.010725058654088373,0.6518938843882929,0.12163990570542278,0.4254276744820087,0.0934104263888889,0.9084243472222222,8664
share_a000_fixed_50_15_35,kpx_group_2,2022,0.028420786635884262,0.16858465717817936,0.13834964820138312,0.07941513240696416,0.025993905714943553,0.16122625628272697,0.1204275999379459,0.02656571669477566,0.6722298356499369,0.1204275999379459,0.46488727123781964,0.14796491520209717,0.9486003604275235,8664
share_a000_tcn,kpx_group_2,2023,0.029025252273705778,0.17036799075444242,0.13625096580267354,0.07538851490127545,0.030276668077826537,0.17400191975327897,0.1297582296981776,0.032382755640003584,0.640239358471854,0.1297582296981776,0.4102369466418855,0.08796595324074073,0.9157955648148148,8758
share_a000_fixed_50_15_35,kpx_group_2,2023,0.030779339991677746,0.1754404172124478,0.14273743110027903,0.09100281036905866,0.029733615439030126,0.17243438009582115,0.12748270260656092,0.044711089825408584,0.6588434657492528,0.12748270260656092,0.4451696341050666,0.14533930381304408,0.9535768852816571,8758
share_a000_tcn,kpx_group_2,2024,0.028072644600047308,0.16754893195734585,0.131209754286055,0.08133591720344949,0.024688689944840324,0.15712635025622,0.11409684477398922,0.02611602847352477,0.6758035883498402,0.11409684477398922,0.46570402147366957,0.08735733564814814,0.9021834398148149,8778
share_a000_fixed_50_15_35,kpx_group_2,2024,0.0325387269178832,0.18038494093987778,0.14407908951063655,0.10490475935911861,0.026553407936104157,0.1629521645640344,0.11773358846036018,0.04862742486107865,0.683970746815936,0.11773358846036018,0.485675082092232,0.14641066924759258,0.9494073008255907,8778
share_a000_tcn,kpx_group_3,2023,0.03550998561914235,0.18844093403276888,0.14765585203078738,0.08547522179532889,0.04209551832104624,0.20517192381280203,0.15344287838938175,0.041076437243852355,0.5886353767977753,0.15344287838938175,0.3307136319849325,0.07569502238095238,0.9312160380952382,8759
share_a000_fixed_50_15_35,kpx_group_3,2023,0.03915159691227743,0.19786762471985514,0.15987018816769763,0.10625754372786998,0.04262372725529495,0.20645514586780092,0.15403844407510747,0.057155185843531145,0.5940060468273369,0.15403844407510747,0.34205053772978145,0.14354159791101917,0.9759050928785525,8759
share_a000_tcn,kpx_group_3,2024,0.02799330273485277,0.1673119922027491,0.1407188363461321,0.07903414889527553,0.027161533570170544,0.16480756526983384,0.1285810327040444,0.010004198198277121,0.5994401258732625,0.1285810327040444,0.3274612844505694,0.051501952,0.8947630095238095,8778
share_a000_fixed_50_15_35,kpx_group_3,2024,0.03068294067081006,0.1751654665475192,0.14972927771375946,0.09881042394986911,0.02819852003922504,0.1679241496605686,0.12952104020411906,0.031631049328203695,0.6032933018395119,0.12952104020411906,0.33610764388314296,0.13262639789798072,0.9203586045203611,8778
