variant,pred_year,group,score,nmae,ficr,n_rows,pinn_weight,tree_weight,tcn_family_weight
pinn0.65_tree0.10_tcn0.25,2022,kpx_group_1,0.6104620623853135,0.1312285431362633,0.3521526679068904,8664,0.65,0.1,0.24999999999999997
pinn0.65_tree0.10_tcn0.25,2022,kpx_group_2,0.6423167705831726,0.13667445184774688,0.4213079930140921,8664,0.65,0.1,0.24999999999999997
pinn0.65_tree0.10_tcn0.25,2022,fold_mean,0.6263894164842431,0.13395149749200508,0.38673033046049127,17328,0.65,0.1,0.24999999999999997
pinn0.65_tree0.10_tcn0.25,2023,kpx_group_1,0.613528355739521,0.13079114203600783,0.35784785351504983,8757,0.65,0.1,0.24999999999999997
pinn0.65_tree0.10_tcn0.25,2023,kpx_group_2,0.6555550549572199,0.13840773770808515,0.44951784762252484,8758,0.65,0.1,0.24999999999999997
pinn0.65_tree0.10_tcn0.25,2023,kpx_group_3,0.5806578377713568,0.1542548000913774,0.31557047563409096,8759,0.65,0.1,0.24999999999999997
pinn0.65_tree0.10_tcn0.25,2023,fold_mean,0.6165804161560325,0.14115122661182344,0.3743120589238886,26274,0.65,0.1,0.24999999999999997
pinn0.65_tree0.10_tcn0.25,2024,kpx_group_1,0.6284618217157328,0.1157685457026301,0.37269218913409574,8778,0.65,0.1,0.24999999999999997
pinn0.65_tree0.10_tcn0.25,2024,kpx_group_2,0.659159489788641,0.13013235385847777,0.4484513334357599,8778,0.65,0.1,0.24999999999999997
pinn0.65_tree0.10_tcn0.25,2024,kpx_group_3,0.6033196850646865,0.13286423229118607,0.3395036024205589,8778,0.65,0.1,0.24999999999999997
pinn0.65_tree0.10_tcn0.25,2024,fold_mean,0.6303136655230202,0.12625504395076464,0.38688237499680483,26334,0.65,0.1,0.24999999999999997
pinn0.65_tree0.15_tcn0.20,2022,kpx_group_1,0.6126092768408332,0.13071977400650822,0.3559383276881747,8664,0.65,0.15000000000000002,0.19999999999999996
pinn0.65_tree0.15_tcn0.20,2022,kpx_group_2,0.6427939594629468,0.13571984603748072,0.4213077649633742,8664,0.65,0.15000000000000002,0.19999999999999996
pinn0.65_tree0.15_tcn0.20,2022,fold_mean,0.62770161815189,0.13321981002199446,0.38862304632577443,17328,0.65,0.15000000000000002,0.19999999999999996
pinn0.65_tree0.15_tcn0.20,2023,kpx_group_1,0.6113135765970403,0.1304945793644338,0.35312173255851453,8757,0.65,0.15000000000000002,0.19999999999999996
pinn0.65_tree0.15_tcn0.20,2023,kpx_group_2,0.6569366922307278,0.13742828378812105,0.45130166824957685,8758,0.65,0.15000000000000002,0.19999999999999996
pinn0.65_tree0.15_tcn0.20,2023,kpx_group_3,0.5811456847924743,0.15379637177231634,0.316087741357265,8759,0.65,0.15000000000000002,0.19999999999999996
pinn0.65_tree0.15_tcn0.20,2023,fold_mean,0.6164653178734142,0.14057307830829038,0.3735037140551188,26274,0.65,0.15000000000000002,0.19999999999999996
pinn0.65_tree0.15_tcn0.20,2024,kpx_group_1,0.6276003835589996,0.11562605200412134,0.37082681912212057,8778,0.65,0.15000000000000002,0.19999999999999996
pinn0.65_tree0.15_tcn0.20,2024,kpx_group_2,0.6582304378186004,0.12999177225167613,0.44645264788887673,8778,0.65,0.15000000000000002,0.19999999999999996
pinn0.65_tree0.15_tcn0.20,2024,kpx_group_3,0.6038763654718936,0.13236458407805554,0.3401173150218427,8778,0.65,0.15000000000000002,0.19999999999999996
pinn0.65_tree0.15_tcn0.20,2024,fold_mean,0.6299023956164979,0.12599413611128432,0.38579892734428006,26334,0.65,0.15000000000000002,0.19999999999999996
pinn0.65_tree0.20_tcn0.15,2022,kpx_group_1,0.614032190373736,0.13027039432344675,0.35833477507091893,8664,0.65,0.2,0.14999999999999997
pinn0.65_tree0.20_tcn0.15,2022,kpx_group_2,0.6433364340092435,0.13486960850178478,0.4215424765202716,8664,0.65,0.2,0.14999999999999997
pinn0.65_tree0.20_tcn0.15,2022,fold_mean,0.6286843121914898,0.13257000141261577,0.38993862579559524,17328,0.65,0.2,0.14999999999999997
pinn0.65_tree0.20_tcn0.15,2023,kpx_group_1,0.6099440985723299,0.13031985418778794,0.3502080513324478,8757,0.65,0.2,0.14999999999999997
pinn0.65_tree0.20_tcn0.15,2023,kpx_group_2,0.6558307919095575,0.13656041129753718,0.44822199511665217,8758,0.65,0.2,0.14999999999999997
pinn0.65_tree0.20_tcn0.15,2023,kpx_group_3,0.5812875587068981,0.15343488940432062,0.31601000681811675,8759,0.65,0.2,0.14999999999999997
pinn0.65_tree0.20_tcn0.15,2023,fold_mean,0.6156874830629285,0.14010505162988193,0.3714800177557389,26274,0.65,0.2,0.14999999999999997
pinn0.65_tree0.20_tcn0.15,2024,kpx_group_1,0.626180089277256,0.11560546644215891,0.3679656449966708,8778,0.65,0.2,0.14999999999999997
pinn0.65_tree0.20_tcn0.15,2024,kpx_group_2,0.658494556557429,0.1299616987377606,0.4469508118526184,8778,0.65,0.2,0.14999999999999997
pinn0.65_tree0.20_tcn0.15,2024,kpx_group_3,0.6041261689846322,0.13196705500752398,0.3402193929767885,8778,0.65,0.2,0.14999999999999997
pinn0.65_tree0.20_tcn0.15,2024,fold_mean,0.629600271606439,0.12584474006248117,0.38504528327535925,26334,0.65,0.2,0.14999999999999997
pinn0.65_tree0.25_tcn0.10,2022,kpx_group_1,0.6162664933774427,0.12991105429617084,0.36244404105105615,8664,0.65,0.25,0.09999999999999998
pinn0.65_tree0.25_tcn0.10,2022,kpx_group_2,0.6428551411940274,0.13411202100844913,0.419822303396504,8664,0.65,0.25,0.09999999999999998
pinn0.65_tree0.25_tcn0.10,2022,fold_mean,0.629560817285735,0.13201153765231,0.3911331722237801,17328,0.65,0.25,0.09999999999999998
pinn0.65_tree0.25_tcn0.10,2023,kpx_group_1,0.6078961688572093,0.13025942684404776,0.3460517645584665,8757,0.65,0.25,0.09999999999999998
pinn0.65_tree0.25_tcn0.10,2023,kpx_group_2,0.6572115048206745,0.13580147932417835,0.4502244889655273,8758,0.65,0.25,0.09999999999999998
pinn0.65_tree0.25_tcn0.10,2023,kpx_group_3,0.5807726804620335,0.15316698948585353,0.3147123504099205,8759,0.65,0.25,0.09999999999999998
pinn0.65_tree0.25_tcn0.10,2023,fold_mean,0.6152934513799724,0.13974263188469319,0.3703295346446381,26274,0.65,0.25,0.09999999999999998
pinn0.65_tree0.25_tcn0.10,2024,kpx_group_1,0.6257820541038174,0.11570968946163897,0.36727379766927365,8778,0.65,0.25,0.09999999999999998
pinn0.65_tree0.25_tcn0.10,2024,kpx_group_2,0.6593919920514508,0.13004380683903471,0.44882779094193626,8778,0.65,0.25,0.09999999999999998
pinn0.65_tree0.25_tcn0.10,2024,kpx_group_3,0.6037410997068268,0.13171594740334486,0.3391981468169985,8778,0.65,0.25,0.09999999999999998
pinn0.65_tree0.25_tcn0.10,2024,fold_mean,0.6296383819540315,0.1258231479013395,0.3850999118094028,26334,0.65,0.25,0.09999999999999998
pinn0.65_tree0.30_tcn0.05,2022,kpx_group_1,0.6190543483465478,0.12964247243536786,0.3677511691284634,8664,0.65,0.30000000000000004,0.04999999999999993
pinn0.65_tree0.30_tcn0.05,2022,kpx_group_2,0.6432923061157164,0.1334497126235308,0.42003432485496367,8664,0.65,0.30000000000000004,0.04999999999999993
pinn0.65_tree0.30_tcn0.05,2022,fold_mean,0.6311733272311322,0.13154609252944932,0.3938927469917135,17328,0.65,0.30000000000000004,0.04999999999999993
pinn0.65_tree0.30_tcn0.05,2023,kpx_group_1,0.6059826524827023,0.130359798048256,0.3423251030136607,8757,0.65,0.30000000000000004,0.04999999999999993
pinn0.65_tree0.30_tcn0.05,2023,kpx_group_2,0.6568493481021245,0.13516442657395003,0.44886312277819895,8758,0.65,0.30000000000000004,0.04999999999999993
pinn0.65_tree0.30_tcn0.05,2023,kpx_group_3,0.5800406479409465,0.15299444212667562,0.31307573800856847,8759,0.65,0.30000000000000004,0.04999999999999993
pinn0.65_tree0.30_tcn0.05,2023,fold_mean,0.6142908828419245,0.13950622224962722,0.368087987933476,26274,0.65,0.30000000000000004,0.04999999999999993
pinn0.65_tree0.30_tcn0.05,2024,kpx_group_1,0.6253719844168522,0.11591766472238563,0.36666163355609005,8778,0.65,0.30000000000000004,0.04999999999999993
pinn0.65_tree0.30_tcn0.05,2024,kpx_group_2,0.6587205167282624,0.13027252442708692,0.4477135578836117,8778,0.65,0.30000000000000004,0.04999999999999993
pinn0.65_tree0.30_tcn0.05,2024,kpx_group_3,0.6027703621756838,0.13159882469828277,0.3371395490496504,8778,0.65,0.30000000000000004,0.04999999999999993
pinn0.65_tree0.30_tcn0.05,2024,fold_mean,0.6289542877735994,0.12592967128258511,0.38383824682978407,26334,0.65,0.30000000000000004,0.04999999999999993
pinn0.65_tree0.35_tcn0.00,2022,kpx_group_1,0.6202492434158697,0.12946238068876847,0.36996086752050794,8664,0.65,0.35000000000000003,0.0
pinn0.65_tree0.35_tcn0.00,2022,kpx_group_2,0.6439350018576839,0.13291241089416303,0.4207824146095308,8664,0.65,0.35000000000000003,0.0
pinn0.65_tree0.35_tcn0.00,2022,fold_mean,0.6320921226367768,0.13118739579146577,0.3953716410650194,17328,0.65,0.35000000000000003,0.0
pinn0.65_tree0.35_tcn0.00,2023,kpx_group_1,0.6032127959247473,0.13057874905541247,0.33700434090490694,8757,0.65,0.35000000000000003,0.0
pinn0.65_tree0.35_tcn0.00,2023,kpx_group_2,0.6558338967856499,0.13464535757403887,0.44631315114533854,8758,0.65,0.35000000000000003,0.0
