pinn_recipe,tree_proxy,pinn_weight,score,nmae,ficr
vestas__vestas_g2_teacher,tree_group2_proxy_same_time,0.75,0.5987803593744504,0.1398479723782903,0.337408691127191
unison__mix_30_unison_g3_vestas_g2,tree_group2_proxy_same_time,0.55,0.598739676955665,0.13804988045534378,0.33552923436667387
unison__unison_g3_teacher,tree_group2_transfer_group3_features,0.7000000000000001,0.5987261586014363,0.13953622785788022,0.3369885450607529
unison__mix_50_unison_g3_vestas_g2,tree_group2_proxy_same_time,0.5,0.598694817433179,0.1384689806979968,0.3358586155643549
unison__unison_g3_teacher,tree_group2_proxy_same_time,0.7000000000000001,0.5986084529362384,0.13971470718455184,0.3369316130570286
unison__vestas_g2_teacher,tree_group2_proxy_same_time,0.8500000000000001,0.598572405662043,0.14020453672191488,0.3373493480460008
vestas__vestas_g12_avg_teacher,tree_group2_proxy_same_time,0.55,0.5985497684095608,0.13748821934514646,0.334587756164268
unison__mix_30_unison_g3_vestas_g2,tree_group2_proxy_same_time,0.9,0.5984053504518106,0.14101424716239697,0.33782494806601826
unison__vestas_g12_avg_teacher,tree_group2_proxy_same_time,0.55,0.5983966744776199,0.13761241137461153,0.3344057603298515
unison__vestas_g12_avg_teacher,tree_group2_transfer_group3_features,0.5,0.5983671041783023,0.13731432688064682,0.3340485352372514
unison__mix_70_unison_g3_vestas_g2,tree_group2_proxy_same_time,0.5,0.5983279981457245,0.13868035357186484,0.33533634986331373
vestas__vestas_g2_teacher,tree_group2_proxy_same_time,0.55,0.5982563012342577,0.13853862076841003,0.33505122323692527
unison__vestas_g2_teacher,tree_group2_transfer_group3_features,0.8500000000000001,0.5982240601727774,0.14011506808063878,0.33656318842619365
unison__mix_30_unison_g3_vestas_g2,tree_group2_proxy_same_time,0.9500000000000001,0.5982091800386735,0.14198306349393575,0.3384014235712827
unison__mix_30_unison_g3_vestas_g2,tree_group2_transfer_group3_features,0.9500000000000001,0.598179069153961,0.1419619315995524,0.33832006990747443
unison__unison_g3_teacher,tree_group2_proxy_same_time,0.5,0.5981028786012954,0.13825024639979103,0.3344560036023817
vestas__vestas_g12_avg_teacher,tree_group2_proxy_same_time,0.9,0.5980469961125339,0.14032079956756452,0.3364147917926321
vestas__vestas_g2_teacher,tree_group2_proxy_same_time,0.6000000000000001,0.5980463262937231,0.13864855566919876,0.33474120825664505
unison__unison_g3_teacher,tree_group2_proxy_same_time,0.55,0.5979624490848618,0.1383739979252455,0.3342988960949691
unison__vestas_g2_teacher,tree_group2_transfer_group3_features,0.5,0.5979574300948631,0.1375841099850341,0.33349897017476043
unison__mix_30_unison_g3_vestas_g2,tree_group2_proxy_same_time,0.5,0.5978704708901361,0.13815834138301447,0.33389928316328676
vestas__vestas_g12_avg_teacher,tree_group2_transfer_group3_features,0.9,0.5978696264637855,0.14026838162734334,0.33600763455491445
unison__unison_g3_teacher,tree_group2_transfer_group3_features,0.8,0.5977038264996972,0.14140550726366738,0.33681316026306196
vestas__vestas_g12_avg_teacher,tree_group2_transfer_group3_features,0.9500000000000001,0.5975679501025594,0.14118703815192785,0.3363229383570466
unison__mix_30_unison_g3_vestas_g2,tree_group2_transfer_group3_features,0.45,0.5975502076261157,0.1378404344665416,0.33294084971877297
vestas__vestas_g2_teacher,tree_group2_proxy_same_time,0.8,0.5975473684995979,0.1405120402004265,0.33560677719962223
unison__mix_50_unison_g3_vestas_g2,tree_group2_transfer_group3_features,0.45,0.5975113751625368,0.13812031693431784,0.33314306725939147
vestas__vestas_g2_teacher,tree_group2_proxy_same_time,0.5,0.5975047954786679,0.13857221067863412,0.33358180163596995
unison__vestas_g12_avg_teacher,tree_group2_proxy_same_time,0.9500000000000001,0.5973831432046062,0.14048101005230082,0.3352472964615132
vestas__vestas_g12_avg_teacher,tree_group2_proxy_same_time,0.9500000000000001,0.5973795435562614,0.14120903721325723,0.33596812432578005
vestas__vestas_g2_teacher,tree_group2_transfer_group3_features,0.5,0.5973457309587427,0.13809718030997872,0.33278864222746407
unison__unison_g3_teacher,tree_group2_proxy_same_time,0.8,0.5973326113178339,0.14149026394405387,0.3361554865797215
unison__vestas_g2_teacher,tree_group2_proxy_same_time,0.9,0.5973157244673286,0.14099904993811296,0.3356304988727701
unison__vestas_g12_avg_teacher,tree_group2_proxy_same_time,0.5,0.5973139277854043,0.13779562833396625,0.33242348390477483
unison__vestas_g12_avg_teacher,tree_group2_transfer_group3_features,0.9500000000000001,0.5972964179412781,0.14045286524476602,0.3350457011273222
vestas__vestas_g12_avg_teacher,tree_group2_transfer_group3_features,0.5,0.5972832208748575,0.13716670253479643,0.3317331442845114
vestas__vestas_g2_teacher,tree_group2_transfer_group3_features,0.8,0.5972523023811979,0.1403733337828402,0.33487793854523595
unison__vestas_g2_teacher,tree_group2_proxy_same_time,0.5,0.5972114882702408,0.13807143907447553,0.33249441561495724
unison__mix_30_unison_g3_vestas_g2,tree_group2_proxy_same_time,0.45,0.5971701228635028,0.13838298682459382,0.33272323255159936
unison__vestas_g2_teacher,tree_group2_transfer_group3_features,0.9,0.5971522933315638,0.1409426321576924,0.33524721882082004
unison__vestas_g2_teacher,tree_group2_transfer_group3_features,0.45,0.5970907603928073,0.1377413969754975,0.3319229177611121
unison__unison_g3_teacher,tree_group2_transfer_group3_features,0.45,0.5969264574783051,0.13777072071704685,0.331623635673657
unison__mix_70_unison_g3_vestas_g2,tree_group2_transfer_group3_features,0.45,0.5968446810947369,0.1382943762405065,0.33198373842998014
vestas__vestas_g12_avg_teacher,tree_group2_proxy_same_time,0.5,0.5968418034236479,0.13763320268561452,0.33131680953291026
unison__mix_70_unison_g3_vestas_g2,tree_group2_transfer_group3_features,0.8,0.5966310701071171,0.1409221919024827,0.334184332116717
vestas__vestas_g2_teacher,tree_group2_transfer_group3_features,0.8500000000000001,0.5966151048538034,0.14118099515568486,0.3344112048632916
unison__mix_50_unison_g3_vestas_g2,tree_group2_proxy_same_time,0.9,0.59656669033656,0.14192873114670862,0.3350621118198284
unison__mix_50_unison_g3_vestas_g2,tree_group2_transfer_group3_features,0.9,0.5965469500373384,0.14188328035539888,0.3349771804300755
vestas__vestas_g2_teacher,tree_group2_proxy_same_time,0.8500000000000001,0.5964879288549356,0.14127722858005676,0.33425308628992806
unison__vestas_g1_teacher,tree_group2_transfer_group3_features,0.7000000000000001,0.5964227118691282,0.13743004312993196,0.33027546686818837
unison__mix_70_unison_g3_vestas_g2,tree_group2_proxy_same_time,0.8,0.5963926645541154,0.1410385891139955,0.3338239182222263
unison__mix_70_unison_g3_vestas_g2,tree_group2_proxy_same_time,0.45,0.5963567648087043,0.13881654152475564,0.3315300711421641
unison__vestas_g1_teacher,tree_group2_transfer_group3_features,0.75,0.5963429764270933,0.13780759788036062,0.3304935507345471
unison__mix_50_unison_g3_vestas_g2,tree_group2_proxy_same_time,0.45,0.5961754714950251,0.1386442627991496,0.33099520578919994
unison__mix_30_unison_g3_vestas_g2,tree_group2_transfer_group3_features,1.0,0.5961114472274354,0.14307106760700325,0.33529396206187406
unison__mix_30_unison_g3_vestas_g2,tree_group2_proxy_same_time,1.0,0.5961114472274354,0.14307106760700325,0.33529396206187406
unison__vestas_g1_teacher,tree_group2_transfer_group3_features,0.8,0.5960773977334474,0.13829527852833498,0.33045007399522974
unison__mix_70_unison_g3_vestas_g2,tree_group2_proxy_same_time,0.8500000000000001,0.596024301728116,0.14197387682166943,0.33402248027790143
unison__mix_70_unison_g3_vestas_g2,tree_group2_transfer_group3_features,0.8500000000000001,0.5959604272420522,0.14189901937752253,0.3338198738616268
unison__vestas_g1_teacher,tree_group2_proxy_same_time,0.75,0.5958636561486665,0.13798964524996674,0.3297169575472998
unison__vestas_g2_teacher,tree_group2_proxy_same_time,0.45,0.5958485261464491,0.13828574366437635,0.3299827959572746
unison__vestas_g1_teacher,tree_group2_proxy_same_time,0.8,0.5958371955677617,0.13842957974531112,0.33010397088083443
unison__mix_70_unison_g3_vestas_g2,tree_group2_transfer_group3_features,0.4,0.5958156615716598,0.13848042527214854,0.33011174841546803
unison__vestas_g1_teacher,tree_group2_transfer_group3_features,0.65,0.5957845751266508,0.1371458970456366,0.32871504729893836
unison__vestas_g2_teacher,tree_group2_transfer_group3_features,0.9500000000000001,0.5957791850129999,0.14190878991036202,0.3334671599363619
unison__vestas_g2_teacher,tree_group2_proxy_same_time,0.4,0.5957722979697344,0.1386417396872574,0.3301863356267262
unison__vestas_g1_teacher,tree_group2_proxy_same_time,0.7000000000000001,0.5957706398748728,0.13765947862127947,0.32920075837102514
unison__vestas_g2_teacher,tree_group2_proxy_same_time,0.9500000000000001,0.5956792820180171,0.14193157777110557,0.3332901418071398
unison__vestas_g1_teacher,tree_group2_transfer_group3_features,0.8500000000000001,0.59563985158205,0.1388955883563483,0.3301752915204482
vestas__vestas_g2_teacher,tree_group2_transfer_group3_features,0.45,0.5955763994746508,0.13818142306338474,0.3293342220126863
unison__unison_g3_teacher,tree_group2_transfer_group3_features,0.8500000000000001,0.5955162015226954,0.14256822037130648,0.3336006234166973
unison__vestas_g2_teacher,tree_group2_transfer_group3_features,0.4,0.5954823072654544,0.1380230377219723,0.3289876522528811
unison__unison_g3_teacher,tree_group2_transfer_group3_features,0.4,0.5954580438641172,0.13789944621256006,0.32881553394079427
unison__unison_g3_teacher,tree_group2_proxy_same_time,0.45,0.595365260465894,0.1382627311359195,0.3289932520677075
unison__unison_g3_teacher,tree_group2_proxy_same_time,0.8500000000000001,0.5953484098579079,0.1426199213744197,0.33331674109023557
vestas__vestas_g2_teacher,tree_group2_transfer_group3_features,0.9,0.5953463128451387,0.14210216092850236,0.3327947866187798
unison__vestas_g12_avg_teacher,tree_group2_proxy_same_time,1.0,0.5953101088054403,0.14134687688723985,0.3319670944981206
