group,trial,mean_score,mean_nmae,mean_ficr,worst_fold,std_score,min_output_ratio,weight_policy,random_state,n_jobs,verbose,objective,n_estimators,learning_rate,num_leaves,max_depth,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda,min_split_gain
kpx_group_2,9,0.4465838425246275,0.2402905304868468,0.13345821553610185,0.4391149082314153,0.005708404206290738,0.05,metric_x2,20260708009,-1,-1,huber,1547,0.04608979418188669,32,10,220,0.6125305567456588,0.6283114294290593,2.911758685697324,0.3718474348363937,0.11410329437938792
kpx_group_2,12,0.445120663614944,0.24147199009416165,0.1317133173240496,0.4369586622243944,0.006523012505938099,0.03,metric_x2,20260708012,-1,-1,huber,1435,0.031000696501404967,48,-1,80,0.6459299246850876,0.67668598690928,1.5927568184176402,0.25427183904380124,0.3038996921806972
kpx_group_2,17,0.43251517406255163,0.24910257799608845,0.11413292612119168,0.420708145457611,0.010057270278465756,0.0,actual_sqrt,20260708017,-1,-1,huber,796,0.026887115614794704,48,5,20,0.8398451676222959,0.8421436213937623,0.3382269420730856,2.927052032819179,0.0003275006584291124
kpx_group_3,17,0.5735801669625268,0.14393264625307733,0.29109298017813096,0.56907864366294,0.004501523299586752,0.05,none,20260708017,-1,-1,regression_l1,578,0.012560466354644733,48,4,160,0.6453797070413919,0.6795102006739808,0.30674020604183905,0.002501282522698739,0.018320547062189003
kpx_group_3,3,0.5734199202875369,0.1483457707315065,0.29518561130658016,0.5681876048229206,0.005232315464616222,0.15,actual_sqrt,20260708003,-1,-1,regression_l1,1449,0.03976517608516256,96,8,300,0.6029252722566066,0.950871400284097,0.0026284056668458796,0.008813297105380072,0.7349833642762846
kpx_group_3,6,0.57204559274248,0.14731352929752195,0.2914047147824819,0.5692528998872777,0.002792692855202339,0.15,metric_x2,20260708006,-1,-1,regression_l1,596,0.030196116253274945,32,7,120,0.7484514172290547,0.9601172784197118,1.3379739195368752,0.01206384321780684,3.460654030802854e-05
kpx_group_3,11,0.5687491474210642,0.14740563222265224,0.2849039270647805,0.5652423262424092,0.003506821178654973,0.15,none,20260708011,-1,-1,regression_l1,1184,0.03378168927334774,96,10,160,0.6175838584355392,0.8412935856068958,0.03145881509545972,0.010261487178818645,0.015609349615391782
kpx_group_3,1,0.5665332125091225,0.15209047220605565,0.2851568972243005,0.5628626215733459,0.003670590935776541,0.15,actual_sqrt,20260708001,-1,-1,regression,1624,0.06240527236805323,64,-1,80,0.6718878674012468,0.9584710654576101,0.24616203138618872,1.8656857402557165,0.005316178208039509
kpx_group_3,15,0.5644367733031815,0.15111891046664344,0.27999245707300646,0.5614197179990384,0.0030170553041430903,0.0,none,20260708015,-1,-1,regression_l1,912,0.04587447464587275,64,4,220,0.7421430799980112,0.6967640576052562,1.175565546680874,2.829376219503549,0.008207392047179218
kpx_group_3,14,0.5642397133317297,0.1510076592127927,0.27948708587625204,0.5640278939363925,0.0002118193953372094,0.1,none,20260708014,-1,-1,regression,1173,0.05419931530800513,128,-1,300,0.7165533172652283,0.892732306867759,0.0020822700712048643,0.0018835726226040476,0.0006306516305169268
kpx_group_3,7,0.5637473691008578,0.15043369255081598,0.2779284307525316,0.5603353412738363,0.0034120278270214355,0.0,metric_x2,20260708007,-1,-1,regression,1443,0.025744353209866084,16,8,60,0.9871477047860022,0.7055590225379476,2.3988140069268993,2.332769257305505,0.017781390342700473
kpx_group_3,4,0.5634046738406269,0.15098214532638377,0.2777914930076376,0.5624363029234913,0.0009683709171355304,0.0,actual_sqrt,20260708004,-1,-1,regression,1470,0.012918694025427056,24,6,160,0.9897971226340043,0.8588268294062056,0.12059493250864503,1.6630914738659697,4.738304654276258e-05
