fold,fold_type,val_start,val_end,feature_block,group,score,nmae,ficr,n
q2024_1,quarter,2024-01-01 01:00:00,2024-04-01 01:00:00,thermo,kpx_group_2,0.614154485070712,0.14706763452980331,0.37537660467122735,2184.0
q2024_1,quarter,2024-01-01 01:00:00,2024-04-01 01:00:00,thermo,kpx_group_3,0.5121639340013424,0.17764473030414327,0.2019725983068282,2184.0
q2024_1,quarter,2024-01-01 01:00:00,2024-04-01 01:00:00,thermo,mean,0.567831606365287,,,
q2024_1,quarter,2024-01-01 01:00:00,2024-04-01 01:00:00,radiation_cloud,kpx_group_1,0.5869331460597664,0.13689488696036897,0.3107611790799018,2184.0
q2024_1,quarter,2024-01-01 01:00:00,2024-04-01 01:00:00,radiation_cloud,kpx_group_2,0.6004032595596577,0.1566128107868182,0.3574193299061335,2184.0
q2024_1,quarter,2024-01-01 01:00:00,2024-04-01 01:00:00,radiation_cloud,kpx_group_3,0.518573747092071,0.17336178799505278,0.21050928217919482,2184.0
q2024_1,quarter,2024-01-01 01:00:00,2024-04-01 01:00:00,radiation_cloud,mean,0.5686367175704984,,,
q2024_1,quarter,2024-01-01 01:00:00,2024-04-01 01:00:00,all_meteo,kpx_group_1,0.5865107335554373,0.13218371984849003,0.30520518695936466,2184.0
q2024_1,quarter,2024-01-01 01:00:00,2024-04-01 01:00:00,all_meteo,kpx_group_2,0.6250133916933281,0.15076497800869385,0.40079176139535017,2184.0
q2024_1,quarter,2024-01-01 01:00:00,2024-04-01 01:00:00,all_meteo,kpx_group_3,0.5153526696694329,0.17184040075085608,0.2025457400897219,2184.0
q2024_1,quarter,2024-01-01 01:00:00,2024-04-01 01:00:00,all_meteo,mean,0.5756255983060661,,,
q2024_1,quarter,2024-01-01 01:00:00,2024-04-01 01:00:00,lead_all_meteo,kpx_group_1,0.5865107335554373,0.13218371984849003,0.30520518695936466,2184.0
q2024_1,quarter,2024-01-01 01:00:00,2024-04-01 01:00:00,lead_all_meteo,kpx_group_2,0.6250133916933281,0.15076497800869385,0.40079176139535017,2184.0
q2024_1,quarter,2024-01-01 01:00:00,2024-04-01 01:00:00,lead_all_meteo,kpx_group_3,0.5153526696694329,0.17184040075085608,0.2025457400897219,2184.0
q2024_1,quarter,2024-01-01 01:00:00,2024-04-01 01:00:00,lead_all_meteo,mean,0.5756255983060661,,,
