experiment,group,tree_candidate,base_weight,score,nmae,ficr
groupwise_extra_tree_kpx_group_2,kpx_group_2,own_tree_raw,0.1,0.6346253239390103,0.12508298289848768,0.39433363077650807
groupwise_extra_tree_kpx_group_1,kpx_group_1,own_tree_calibrated,0.9500000000000001,0.6340387212600039,0.1180153236588619,0.38609276617886984
global_blend_own_tree_calibrated,kpx_group_1,own_tree_calibrated,0.9500000000000001,0.6340387212600039,0.1180153236588619,0.38609276617886984
global_blend_own_tree_raw,kpx_group_1,own_tree_raw,0.9500000000000001,0.6339177203017209,0.1179951679722922,0.38583060857573387
groupwise_extra_tree_kpx_group_1,kpx_group_1,own_tree_raw,0.9500000000000001,0.6339177203017209,0.1179951679722922,0.38583060857573387
groupwise_extra_tree_kpx_group_1,kpx_group_1,own_tree_raw,0.9,0.6332526146409232,0.11785434273468084,0.3843595720165272
global_blend_own_tree_raw,kpx_group_1,own_tree_raw,0.9,0.6332526146409232,0.11785434273468084,0.3843595720165272
groupwise_extra_tree_kpx_group_2,kpx_group_2,own_tree_raw,0.05,0.6331899379100208,0.1255989863961176,0.39197886221615913
global_blend_own_tree_raw,kpx_group_2,own_tree_raw,0.05,0.6331899379100208,0.1255989863961176,0.39197886221615913
groupwise_extra_tree_kpx_group_1,kpx_group_1,own_tree_calibrated,0.9,0.6330935742736382,0.11788868361769912,0.3840758321649756
global_blend_own_tree_calibrated,kpx_group_1,own_tree_calibrated,0.9,0.6330935742736382,0.11788868361769912,0.3840758321649756
global_blend_own_tree_calibrated,kpx_group_1,own_tree_calibrated,0.8,0.6322786861580725,0.11782458593284273,0.3823819582489876
groupwise_extra_tree_kpx_group_1,kpx_group_1,own_tree_calibrated,0.8,0.6322786861580725,0.11782458593284273,0.3823819582489876
global_blend_own_tree_calibrated,kpx_group_1,own_tree_calibrated,0.8500000000000001,0.6321465082339641,0.11782401895639638,0.3821170354243245
groupwise_extra_tree_kpx_group_1,kpx_group_1,own_tree_calibrated,0.8500000000000001,0.6321465082339641,0.11782401895639638,0.3821170354243245
global_blend_own_tree_raw,kpx_group_1,own_tree_raw,0.8500000000000001,0.6321294507452024,0.11777254660012122,0.38203144809052625
groupwise_extra_tree_kpx_group_1,kpx_group_1,own_tree_raw,0.8500000000000001,0.6321294507452024,0.11777254660012122,0.38203144809052625
global_blend_own_tree_raw,kpx_group_2,own_tree_raw,0.0,0.6320582983230577,0.12618235634616057,0.39029895299227596
groupwise_extra_tree_kpx_group_2,kpx_group_2,own_tree_raw,0.0,0.6320582983230577,0.12618235634616057,0.39029895299227596
groupwise_extra_tree_kpx_group_1,kpx_group_1,own_tree_calibrated,0.75,0.6312220325557844,0.11790086058188332,0.38034492569345196
global_blend_own_tree_calibrated,kpx_group_1,own_tree_calibrated,0.75,0.6312220325557844,0.11790086058188332,0.38034492569345196
groupwise_extra_tree_kpx_group_1,kpx_group_1,own_tree_raw,0.8,0.6310263483190119,0.11776602544590412,0.3798187220839281
global_blend_own_tree_raw,kpx_group_1,own_tree_raw,0.8,0.6310263483190119,0.11776602544590412,0.3798187220839281
groupwise_extra_tree_kpx_group_1,kpx_group_1,own_tree_calibrated,0.7000000000000001,0.6303820067295248,0.1180498498541411,0.3788138633131907
global_blend_own_tree_calibrated,kpx_group_1,own_tree_calibrated,0.7000000000000001,0.6303820067295248,0.1180498498541411,0.3788138633131907
groupwise_extra_tree_kpx_group_2,mean,own_tree_raw,0.8500000000000001,0.6303692077844832,,
groupwise_extra_tree_kpx_group_2,mean,own_tree_calibrated,0.7000000000000001,0.6303042905906727,,
groupwise_extra_tree_kpx_group_3,mean,own_tree_calibrated,0.9,0.630256891273795,,
groupwise_extra_tree_kpx_group_2,mean,own_tree_raw,0.8,0.6301841258112997,,
groupwise_extra_tree_kpx_group_2,mean,own_tree_calibrated,0.6000000000000001,0.6301290129446023,,
groupwise_extra_tree_kpx_group_2,mean,own_tree_raw,0.75,0.6300791884856977,,
groupwise_extra_tree_kpx_group_2,mean,own_tree_calibrated,0.8500000000000001,0.6300657210975416,,
groupwise_extra_tree_kpx_group_2,mean,own_tree_raw,0.9,0.6300611508870879,,
groupwise_extra_tree_kpx_group_2,mean,own_tree_calibrated,0.75,0.6300421713626493,,
groupwise_extra_tree_kpx_group_3,mean,own_tree_raw,0.9,0.6300367114268569,,
groupwise_extra_tree_kpx_group_2,mean,own_tree_calibrated,0.65,0.6300347876593164,,
groupwise_extra_tree_kpx_group_2,mean,own_tree_raw,0.65,0.629999017773824,,
groupwise_extra_tree_kpx_group_2,mean,own_tree_raw,0.6000000000000001,0.629933993393411,,
groupwise_extra_tree_kpx_group_3,mean,group2_tree_same_time_proxy,1.0,0.6299300838168669,,
groupwise_extra_tree_kpx_group_3,mean,group2_tree_transfer_features,1.0,0.6299300838168669,,
groupwise_extra_tree_kpx_group_3,mean,own_tree_calibrated,1.0,0.6299300838168669,,
groupwise_extra_tree_kpx_group_2,mean,own_tree_raw,1.0,0.6299300838168669,,
groupwise_extra_tree_kpx_group_3,mean,own_tree_raw,1.0,0.6299300838168669,,
groupwise_extra_tree_kpx_group_2,mean,own_tree_calibrated,1.0,0.6299300838168669,,
global_blend_own_tree_raw,mean,own_tree_raw,1.0,0.6299300838168669,,
groupwise_extra_tree_kpx_group_1,mean,own_tree_calibrated,1.0,0.6299300838168669,,
groupwise_extra_tree_kpx_group_1,mean,own_tree_raw,1.0,0.6299300838168669,,
global_blend_own_tree_calibrated,mean,own_tree_calibrated,1.0,0.6299300838168669,,
current_best,mean,none,1.0,0.6299300838168669,,
groupwise_extra_tree_kpx_group_3,mean,own_tree_calibrated,0.8500000000000001,0.6299196916434191,,
groupwise_extra_tree_kpx_group_2,mean,own_tree_raw,0.7000000000000001,0.629860775744204,,
groupwise_extra_tree_kpx_group_2,mean,own_tree_calibrated,0.55,0.6298511098895535,,
groupwise_extra_tree_kpx_group_2,mean,own_tree_calibrated,0.8,0.6298215263915156,,
groupwise_extra_tree_kpx_group_3,mean,own_tree_raw,0.9500000000000001,0.6298140523928716,,
global_blend_own_tree_calibrated,kpx_group_1,own_tree_calibrated,0.6000000000000001,0.6297867707668597,0.11852547526164907,0.37809901679536845
groupwise_extra_tree_kpx_group_1,kpx_group_1,own_tree_calibrated,0.6000000000000001,0.6297867707668597,0.11852547526164907,0.37809901679536845
groupwise_extra_tree_kpx_group_2,mean,own_tree_calibrated,0.5,0.6297657171561332,,
groupwise_extra_tree_kpx_group_1,kpx_group_1,own_tree_calibrated,0.65,0.6297451355126565,0.118254998300912,0.3777452693262251
global_blend_own_tree_calibrated,kpx_group_1,own_tree_calibrated,0.65,0.6297451355126565,0.118254998300912,0.3777452693262251
groupwise_extra_tree_kpx_group_2,mean,own_tree_raw,0.9500000000000001,0.6297424182646136,,
groupwise_extra_tree_kpx_group_2,mean,own_tree_calibrated,0.45,0.6297389279692936,,
groupwise_extra_tree_kpx_group_3,mean,group2_tree_transfer_features,0.9500000000000001,0.6297269125443906,,
groupwise_extra_tree_kpx_group_2,mean,own_tree_calibrated,0.4,0.6297188474574545,,
groupwise_extra_tree_kpx_group_2,mean,own_tree_calibrated,0.9,0.6296979442689706,,
groupwise_extra_tree_kpx_group_3,mean,own_tree_calibrated,0.8,0.6296965743351608,,
groupwise_extra_tree_kpx_group_3,mean,own_tree_calibrated,0.9500000000000001,0.6296741707155957,,
groupwise_extra_tree_kpx_group_2,mean,own_tree_calibrated,0.9500000000000001,0.6296605660254275,,
groupwise_extra_tree_kpx_group_3,mean,group2_tree_same_time_proxy,0.9500000000000001,0.629645060347237,,
groupwise_extra_tree_kpx_group_3,mean,own_tree_raw,0.8500000000000001,0.6296000742385223,,
global_blend_own_tree_raw,kpx_group_1,own_tree_raw,0.75,0.6294472531466182,0.11783052694324744,0.3767250332364839
groupwise_extra_tree_kpx_group_1,kpx_group_1,own_tree_raw,0.75,0.6294472531466182,0.11783052694324744,0.3767250332364839
groupwise_extra_tree_kpx_group_3,mean,group2_tree_transfer_features,0.9,0.6294241602876044,,
groupwise_extra_tree_kpx_group_2,mean,own_tree_raw,0.55,0.6293710455141064,,
groupwise_extra_tree_kpx_group_2,mean,own_tree_calibrated,0.35000000000000003,0.6293679496121589,,
groupwise_extra_tree_kpx_group_1,mean,own_tree_calibrated,0.9500000000000001,0.6293643533506378,,
groupwise_extra_tree_kpx_group_3,mean,own_tree_raw,0.8,0.629344858182815,,
global_blend_own_tree_raw,mean,own_tree_raw,0.9,0.6293400124911552,,
groupwise_extra_tree_kpx_group_1,mean,own_tree_raw,0.9500000000000001,0.6293240196978768,,
groupwise_extra_tree_kpx_group_3,mean,group2_tree_transfer_features,0.8500000000000001,0.629302846342323,,
groupwise_extra_tree_kpx_group_3,mean,group2_tree_same_time_proxy,0.9,0.629289127335073,,
groupwise_extra_tree_kpx_group_3,mean,group2_tree_same_time_proxy,0.8500000000000001,0.6292747294182576,,
groupwise_extra_tree_kpx_group_2,mean,own_tree_calibrated,0.30000000000000004,0.6291941103589189,,
global_blend_own_tree_calibrated,mean,own_tree_calibrated,0.9,0.6291439722642145,,
groupwise_extra_tree_kpx_group_3,mean,group2_tree_transfer_features,0.8,0.6291379774311388,,
groupwise_extra_tree_kpx_group_1,mean,own_tree_raw,0.9,0.6291023178109442,,
global_blend_own_tree_raw,kpx_group_1,own_tree_raw,0.7000000000000001,0.6291013049399407,0.11796661145142297,0.3761692213313042
