fold,fold_type,val_start,val_end,spatial_mode,group,score,nmae,ficr,n
year_2024,yearly,2024-01-01 01:00:00,2025-01-01 01:00:00,all,kpx_group_2,0.6386512467715426,0.12423079518352854,0.4015332887266138,8778.0
year_2024,yearly,2024-01-01 01:00:00,2025-01-01 01:00:00,all,kpx_group_3,0.5548193478017738,0.1488115092299844,0.25845020483353187,8778.0
year_2024,yearly,2024-01-01 01:00:00,2025-01-01 01:00:00,all,mean,0.5998005827036941,,,
q2024_1,quarter,2024-01-01 01:00:00,2024-04-01 01:00:00,none,kpx_group_1,0.5865107335554373,0.13218371984849003,0.30520518695936466,2184.0
q2024_1,quarter,2024-01-01 01:00:00,2024-04-01 01:00:00,none,kpx_group_2,0.6250133916933281,0.15076497800869385,0.40079176139535017,2184.0
q2024_1,quarter,2024-01-01 01:00:00,2024-04-01 01:00:00,none,kpx_group_3,0.5153526696694329,0.17184040075085608,0.2025457400897219,2184.0
q2024_1,quarter,2024-01-01 01:00:00,2024-04-01 01:00:00,none,mean,0.5756255983060661,,,
q2024_1,quarter,2024-01-01 01:00:00,2024-04-01 01:00:00,nearest,kpx_group_1,0.5744624524390284,0.13289911144404615,0.2818240163221028,2184.0
q2024_1,quarter,2024-01-01 01:00:00,2024-04-01 01:00:00,nearest,kpx_group_2,0.6287794159297301,0.14528269029106408,0.4028415221505242,2184.0
q2024_1,quarter,2024-01-01 01:00:00,2024-04-01 01:00:00,nearest,kpx_group_3,0.5201363717441628,0.17016989984564357,0.2104426433339692,2184.0
q2024_1,quarter,2024-01-01 01:00:00,2024-04-01 01:00:00,nearest,mean,0.5744594133709738,,,
q2024_1,quarter,2024-01-01 01:00:00,2024-04-01 01:00:00,weighted,kpx_group_1,0.5838623141939141,0.1312075270314328,0.2989321554192611,2184.0
q2024_1,quarter,2024-01-01 01:00:00,2024-04-01 01:00:00,weighted,kpx_group_2,0.6189370195897129,0.14941850289384084,0.3872925420732667,2184.0
q2024_1,quarter,2024-01-01 01:00:00,2024-04-01 01:00:00,weighted,kpx_group_3,0.5152096008298415,0.17334255931925022,0.2037617609789331,2184.0
q2024_1,quarter,2024-01-01 01:00:00,2024-04-01 01:00:00,weighted,mean,0.5726696448711562,,,
q2024_1,quarter,2024-01-01 01:00:00,2024-04-01 01:00:00,upwind,kpx_group_1,0.5754336083749424,0.13115463642249164,0.28202185317237644,2184.0
q2024_1,quarter,2024-01-01 01:00:00,2024-04-01 01:00:00,upwind,kpx_group_2,0.6163090942800824,0.1511102220127819,0.3837284105729468,2184.0
q2024_1,quarter,2024-01-01 01:00:00,2024-04-01 01:00:00,upwind,kpx_group_3,0.5204745094071086,0.17139255998309996,0.2123415787973171,2184.0
q2024_1,quarter,2024-01-01 01:00:00,2024-04-01 01:00:00,upwind,mean,0.5707390706873778,,,
q2024_1,quarter,2024-01-01 01:00:00,2024-04-01 01:00:00,ldaps,kpx_group_1,0.580483635718094,0.13064989646404745,0.2916171679002356,2184.0
q2024_1,quarter,2024-01-01 01:00:00,2024-04-01 01:00:00,ldaps,kpx_group_2,0.6336305906694506,0.1492479846718921,0.4165091660107933,2184.0
q2024_1,quarter,2024-01-01 01:00:00,2024-04-01 01:00:00,ldaps,kpx_group_3,0.5176827792378501,0.17244719439883233,0.20781275287453252,2184.0
q2024_1,quarter,2024-01-01 01:00:00,2024-04-01 01:00:00,ldaps,mean,0.5772656685417982,,,
q2024_1,quarter,2024-01-01 01:00:00,2024-04-01 01:00:00,gfs,kpx_group_1,0.5953852532117446,0.13076803818971977,0.321538544613209,2184.0
q2024_1,quarter,2024-01-01 01:00:00,2024-04-01 01:00:00,gfs,kpx_group_2,0.6251838156440077,0.15040702229996303,0.4007746535879784,2184.0
q2024_1,quarter,2024-01-01 01:00:00,2024-04-01 01:00:00,gfs,kpx_group_3,0.5303645715174724,0.17170570869280333,0.23243485172774805,2184.0
q2024_1,quarter,2024-01-01 01:00:00,2024-04-01 01:00:00,gfs,mean,0.583644546791075,,,
