fold,fold_type,val_start,val_end,direction_teacher,group,score,nmae,ficr,n
q2024_2,quarter,2024-04-01 01:00:00,2024-07-01 01:00:00,none,kpx_group_1,0.5977052817278027,0.12437170456369982,0.31978226801930515,2184.0
q2024_2,quarter,2024-04-01 01:00:00,2024-07-01 01:00:00,none,kpx_group_2,0.6377833423791766,0.11741737928626396,0.39298406404461694,2184.0
q2024_2,quarter,2024-04-01 01:00:00,2024-07-01 01:00:00,none,kpx_group_3,0.5666106892848747,0.13546568064174466,0.26868705921149405,2184.0
q2024_2,quarter,2024-04-01 01:00:00,2024-07-01 01:00:00,none,mean,0.600699771130618,,,
q2024_2,quarter,2024-04-01 01:00:00,2024-07-01 01:00:00,rf,kpx_group_1,0.6096718584567044,0.12396897178721952,0.3433126887006283,2184.0
q2024_2,quarter,2024-04-01 01:00:00,2024-07-01 01:00:00,rf,kpx_group_2,0.6283652613688744,0.11840728252920765,0.3751378052669564,2184.0
q2024_2,quarter,2024-04-01 01:00:00,2024-07-01 01:00:00,rf,kpx_group_3,0.5597693913050941,0.13634873096741804,0.2558875135776061,2184.0
q2024_2,quarter,2024-04-01 01:00:00,2024-07-01 01:00:00,rf,mean,0.5992688370435576,,,
q2024_2,quarter,2024-04-01 01:00:00,2024-07-01 01:00:00,rf_hist_gbr_avg,kpx_group_1,0.5986103465018839,0.12423218982151953,0.3214528828252874,2184.0
q2024_2,quarter,2024-04-01 01:00:00,2024-07-01 01:00:00,rf_hist_gbr_avg,kpx_group_2,0.6241394016005536,0.11880991282570214,0.3670887160268092,2184.0
q2024_2,quarter,2024-04-01 01:00:00,2024-07-01 01:00:00,rf_hist_gbr_avg,kpx_group_3,0.568330286215293,0.13637328982181557,0.27303386225240167,2184.0
q2024_2,quarter,2024-04-01 01:00:00,2024-07-01 01:00:00,rf_hist_gbr_avg,mean,0.5970266781059103,,,
q2024_3,quarter,2024-07-01 01:00:00,2024-10-01 01:00:00,none,kpx_group_1,0.6088097379335033,0.12852681612325698,0.3461462919902637,2202.0
q2024_3,quarter,2024-07-01 01:00:00,2024-10-01 01:00:00,none,kpx_group_2,0.6589015285370048,0.11335428678679824,0.43115734386080773,2202.0
q2024_3,quarter,2024-07-01 01:00:00,2024-10-01 01:00:00,none,kpx_group_3,0.5598188119758867,0.14192482731400774,0.2615624512657811,2202.0
q2024_3,quarter,2024-07-01 01:00:00,2024-10-01 01:00:00,none,mean,0.6091766928154649,,,
q2024_3,quarter,2024-07-01 01:00:00,2024-10-01 01:00:00,rf,kpx_group_1,0.5992119321668965,0.130839806520117,0.3292636708539101,2202.0
q2024_3,quarter,2024-07-01 01:00:00,2024-10-01 01:00:00,rf,kpx_group_2,0.6679107189127991,0.11175895870863353,0.4475803965342316,2202.0
q2024_3,quarter,2024-07-01 01:00:00,2024-10-01 01:00:00,rf,kpx_group_3,0.5600994022523473,0.14150125629686627,0.26170006080156094,2202.0
q2024_3,quarter,2024-07-01 01:00:00,2024-10-01 01:00:00,rf,mean,0.6090740177773476,,,
q2024_3,quarter,2024-07-01 01:00:00,2024-10-01 01:00:00,rf_hist_gbr_avg,kpx_group_1,0.605688222316548,0.12795649353013114,0.3393329381632271,2202.0
q2024_3,quarter,2024-07-01 01:00:00,2024-10-01 01:00:00,rf_hist_gbr_avg,kpx_group_2,0.6716144945420389,0.11112328986904192,0.45435227895311986,2202.0
q2024_3,quarter,2024-07-01 01:00:00,2024-10-01 01:00:00,rf_hist_gbr_avg,kpx_group_3,0.5695037094611812,0.13910718329344496,0.27811460221580736,2202.0
q2024_3,quarter,2024-07-01 01:00:00,2024-10-01 01:00:00,rf_hist_gbr_avg,mean,0.6156021421065894,,,
q2024_4,quarter,2024-10-01 01:00:00,2025-01-01 01:00:00,none,kpx_group_1,0.6449798963354465,0.1168062230037089,0.40676601567460197,2208.0
q2024_4,quarter,2024-10-01 01:00:00,2025-01-01 01:00:00,none,kpx_group_2,0.6237502626704037,0.12036299861085346,0.3678635239516609,2208.0
q2024_4,quarter,2024-10-01 01:00:00,2025-01-01 01:00:00,none,kpx_group_3,0.591993507477052,0.14247042844788171,0.3264574434019858,2208.0
q2024_4,quarter,2024-10-01 01:00:00,2025-01-01 01:00:00,none,mean,0.6202412221609674,,,
q2024_4,quarter,2024-10-01 01:00:00,2025-01-01 01:00:00,rf,kpx_group_1,0.6293029935198726,0.1178187739174744,0.3764247609572196,2208.0
q2024_4,quarter,2024-10-01 01:00:00,2025-01-01 01:00:00,rf,kpx_group_2,0.6115838967232106,0.12404792273820839,0.3472157161846295,2208.0
q2024_4,quarter,2024-10-01 01:00:00,2025-01-01 01:00:00,rf,kpx_group_3,0.5895425995948045,0.1404880605625528,0.31957325975216166,2208.0
q2024_4,quarter,2024-10-01 01:00:00,2025-01-01 01:00:00,rf,mean,0.6101431632792959,,,
q2024_4,quarter,2024-10-01 01:00:00,2025-01-01 01:00:00,rf_hist_gbr_avg,kpx_group_1,0.632781480780489,0.11582057560283944,0.38138353716381757,2208.0
q2024_4,quarter,2024-10-01 01:00:00,2025-01-01 01:00:00,rf_hist_gbr_avg,kpx_group_2,0.6193572094975975,0.12301479328003236,0.3617292122752275,2208.0
q2024_4,quarter,2024-10-01 01:00:00,2025-01-01 01:00:00,rf_hist_gbr_avg,kpx_group_3,0.5972577905676933,0.14016055293400145,0.3346761340693882,2208.0
q2024_4,quarter,2024-10-01 01:00:00,2025-01-01 01:00:00,rf_hist_gbr_avg,mean,0.61646549361526,,,
