fold,fold_type,val_start,val_end,feature_block,variant,group,score,nmae,ficr,n
q2024_1,quarter,2024-01-01 01:00:00,2024-04-01 01:00:00,baseline,pooled_isotonic,mean,0.5874258263664223,0.150565055967383,0.3254167087002276,6552
q2024_1,quarter,2024-01-01 01:00:00,2024-04-01 01:00:00,baseline,raw,mean,0.5727781735059239,0.15143885461171744,0.29699520162356513,6552
q2024_2,quarter,2024-04-01 01:00:00,2024-07-01 01:00:00,all_meteo,pooled_isotonic,mean,0.6044746626462728,0.12542616756198213,0.33437549285452767,6552
q2024_2,quarter,2024-04-01 01:00:00,2024-07-01 01:00:00,all_meteo,raw,mean,0.605357235024307,0.12398327357007305,0.33469774361868715,6552
q2024_2,quarter,2024-04-01 01:00:00,2024-07-01 01:00:00,baseline,pooled_isotonic,mean,0.595611034387811,0.12777991789272228,0.31900198666834434,6552
q2024_2,quarter,2024-04-01 01:00:00,2024-07-01 01:00:00,baseline,raw,mean,0.5958452920618511,0.12620771108130366,0.31789829520500584,6552
q2024_3,quarter,2024-07-01 01:00:00,2024-10-01 01:00:00,all_meteo,pooled_isotonic,mean,0.6047037634739868,0.12825161817530126,0.3376591451232747,6606
q2024_3,quarter,2024-07-01 01:00:00,2024-10-01 01:00:00,all_meteo,raw,mean,0.6055745265055709,0.12645643166047113,0.3376054846716126,6606
q2024_3,quarter,2024-07-01 01:00:00,2024-10-01 01:00:00,baseline,pooled_isotonic,mean,0.5975846351118662,0.12982965416988565,0.32499892439361816,6606
q2024_3,quarter,2024-07-01 01:00:00,2024-10-01 01:00:00,baseline,raw,mean,0.6007127096992305,0.12802511909473238,0.32945053849319333,6606
q2024_4,quarter,2024-10-01 01:00:00,2025-01-01 01:00:00,all_meteo,pooled_isotonic,mean,0.6235448341664985,0.1255119693733958,0.37260163770639293,6624
q2024_4,quarter,2024-10-01 01:00:00,2025-01-01 01:00:00,all_meteo,raw,mean,0.6163189627171918,0.12496393072647947,0.3576018561608631,6624
q2024_4,quarter,2024-10-01 01:00:00,2025-01-01 01:00:00,baseline,pooled_isotonic,mean,0.6163662202248531,0.12838062690403926,0.36111306735374543,6624
q2024_4,quarter,2024-10-01 01:00:00,2025-01-01 01:00:00,baseline,raw,mean,0.6135038151507719,0.1268149497947391,0.3538225800962828,6624
year_2023,yearly,2023-01-01 01:00:00,2024-01-01 01:00:00,all_meteo,pooled_isotonic,mean,0.5822246302970199,0.1459719956905099,0.3104212562845497,17515
year_2023,yearly,2023-01-01 01:00:00,2024-01-01 01:00:00,all_meteo,raw,mean,0.5786102916790502,0.14482529325945487,0.3020458766175552,17515
year_2023,yearly,2023-01-01 01:00:00,2024-01-01 01:00:00,baseline,pooled_isotonic,mean,0.5755472933010866,0.14794903986001445,0.29904362646218763,17515
year_2023,yearly,2023-01-01 01:00:00,2024-01-01 01:00:00,baseline,raw,mean,0.5725606941092922,0.14674790689387612,0.29186929511246057,17515
year_2024,yearly,2024-01-01 01:00:00,2025-01-01 01:00:00,all_meteo,pooled_isotonic,mean,0.6044709435334514,0.13260300356208107,0.341544890628984,26334
year_2024,yearly,2024-01-01 01:00:00,2025-01-01 01:00:00,all_meteo,raw,mean,0.5983029056428927,0.13188755514532455,0.32849336643111,26334
year_2024,yearly,2024-01-01 01:00:00,2025-01-01 01:00:00,baseline,pooled_isotonic,mean,0.6005864889095683,0.13519327549523477,0.33636625331437137,26334
year_2024,yearly,2024-01-01 01:00:00,2025-01-01 01:00:00,baseline,raw,mean,0.5968999592742192,0.13405649524917806,0.3278564137976166,26334
