trial,min_output_ratio,weight_policy,random_state,n_jobs,verbose,objective,n_estimators,learning_rate,num_leaves,max_depth,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda,min_split_gain,group,pred_year,train_years,score,nmae,ficr,n_train,n_val
10,0.05,none,20260708010,-1,-1,regression_l1,948,0.06845650377534093,64,-1,60,0.6272385111987807,0.671244395598728,0.005700682936596386,0.0012356811157888314,0.0015541496161816891,kpx_group_1,2022,"2023,2024",0.6314122931051369,0.12477587431689816,0.3876004605271719,11926,8664
10,0.05,none,20260708010,-1,-1,regression_l1,948,0.06845650377534093,64,-1,60,0.6272385111987807,0.671244395598728,0.005700682936596386,0.0012356811157888314,0.0015541496161816891,kpx_group_1,2023,"2022,2024",0.5937489791179935,0.13345708894648473,0.3209550471824719,11818,8757
10,0.05,none,20260708010,-1,-1,regression_l1,948,0.06845650377534093,64,-1,60,0.6272385111987807,0.671244395598728,0.005700682936596386,0.0012356811157888314,0.0015541496161816891,kpx_group_1,2024,"2022,2023",0.6131909590818654,0.11963717283559139,0.34601909099932215,12408,8778
11,0.1,none,20260708011,-1,-1,huber,1699,0.026186381104470732,24,6,60,0.6002495303676951,0.7419070063013177,0.018667221704975086,0.015998835304989554,0.00032353518097577794,kpx_group_1,2022,"2023,2024",0.48633370095774603,0.20991806370483262,0.1825854656203246,10498,8664
11,0.1,none,20260708011,-1,-1,huber,1699,0.026186381104470732,24,6,60,0.6002495303676951,0.7419070063013177,0.018667221704975086,0.015998835304989554,0.00032353518097577794,kpx_group_1,2023,"2022,2024",0.44944123717164974,0.23672041041105218,0.1356028847543517,10405,8757
11,0.1,none,20260708011,-1,-1,huber,1699,0.026186381104470732,24,6,60,0.6002495303676951,0.7419070063013177,0.018667221704975086,0.015998835304989554,0.00032353518097577794,kpx_group_1,2024,"2022,2023",0.4525102766318816,0.23271334483073494,0.1377338980944981,10925,8778
12,0.15,none,20260708012,-1,-1,regression_l1,787,0.02630321188989036,128,10,60,0.9217071682853347,0.9595630455792192,0.007994583363875023,6.596852127460859,0.06719608225283191,kpx_group_1,2022,"2023,2024",0.6311615051820115,0.12835174173459074,0.39067475209861374,9397,8664
12,0.15,none,20260708012,-1,-1,regression_l1,787,0.02630321188989036,128,10,60,0.9217071682853347,0.9595630455792192,0.007994583363875023,6.596852127460859,0.06719608225283191,kpx_group_1,2023,"2022,2024",0.5894596033053534,0.13435712532106855,0.3132763319317755,9313,8757
12,0.15,none,20260708012,-1,-1,regression_l1,787,0.02630321188989036,128,10,60,0.9217071682853347,0.9595630455792192,0.007994583363875023,6.596852127460859,0.06719608225283191,kpx_group_1,2024,"2022,2023",0.6176558663830694,0.12020119900767229,0.35551293177381094,9784,8778
13,0.1,metric_x2,20260708013,-1,-1,huber,1716,0.012411256946844368,48,7,220,0.9878268995857663,0.8945241433228319,0.0006227346537492587,0.08327666333357683,0.000456268953574922,kpx_group_1,2022,"2023,2024",0.48580238309720214,0.21035038058849403,0.1819551467828984,10498,8664
13,0.1,metric_x2,20260708013,-1,-1,huber,1716,0.012411256946844368,48,7,220,0.9878268995857663,0.8945241433228319,0.0006227346537492587,0.08327666333357683,0.000456268953574922,kpx_group_1,2023,"2022,2024",0.44921580477600936,0.23715996606368614,0.13559157561570492,10405,8757
13,0.1,metric_x2,20260708013,-1,-1,huber,1716,0.012411256946844368,48,7,220,0.9878268995857663,0.8945241433228319,0.0006227346537492587,0.08327666333357683,0.000456268953574922,kpx_group_1,2024,"2022,2023",0.4522343762710073,0.23317365492531353,0.13764240746732817,10925,8778
14,0.05,metric_x2,20260708014,-1,-1,regression,1719,0.020499429586959602,128,10,160,0.9279061121132349,0.6138237037211403,0.9048482310094343,36.57129337584137,1.3526287031799115e-05,kpx_group_1,2022,"2023,2024",0.6331454829947315,0.12328130329668202,0.38957226928614497,11926,8664
14,0.05,metric_x2,20260708014,-1,-1,regression,1719,0.020499429586959602,128,10,160,0.9279061121132349,0.6138237037211403,0.9048482310094343,36.57129337584137,1.3526287031799115e-05,kpx_group_1,2023,"2022,2024",0.5952605601203886,0.13257481763506498,0.3230959378758423,11818,8757
14,0.05,metric_x2,20260708014,-1,-1,regression,1719,0.020499429586959602,128,10,160,0.9279061121132349,0.6138237037211403,0.9048482310094343,36.57129337584137,1.3526287031799115e-05,kpx_group_1,2024,"2022,2023",0.6192447242886259,0.11900429638134455,0.3574937449585962,12408,8778
15,0.05,metric_x2,20260708015,-1,-1,huber,1150,0.03561590512027744,16,5,80,0.7598632459762218,0.7090556444130056,0.0006250944692777601,0.030420525328881894,0.02074929982269464,kpx_group_1,2022,"2023,2024",0.4836116683797746,0.20902830877733017,0.17625164553687936,11926,8664
15,0.05,metric_x2,20260708015,-1,-1,huber,1150,0.03561590512027744,16,5,80,0.7598632459762218,0.7090556444130056,0.0006250944692777601,0.030420525328881894,0.02074929982269464,kpx_group_1,2023,"2022,2024",0.4465487849827647,0.23722018239641576,0.1303177523619451,11818,8757
