fold,fold_type,candidate,group,score,nmae,ficr,n
q2024_2,quarter_tree,tree_raw,kpx_group_2,0.6358925820908882,0.11618764865796218,0.38797281283973856,2184
q2024_2,quarter_tree,tree_raw,kpx_group_3,0.5669177870771289,0.13699641706675064,0.2708319912210083,2184
q2024_2,quarter_tree,tree_calibrated,kpx_group_1,0.5878472680569036,0.12668794068836806,0.30238247680217517,2184
q2024_2,quarter_tree,tree_calibrated,kpx_group_2,0.6357496068270495,0.11857086909130796,0.39007008274540694,2184
q2024_2,quarter_tree,tree_calibrated,kpx_group_3,0.5632362282794801,0.13808094389849082,0.2645534004574509,2184
q2024_3,quarter_tree,tree_raw,kpx_group_1,0.5921836494686676,0.1273878795155741,0.3117551784529094,2202
q2024_3,quarter_tree,tree_raw,kpx_group_2,0.6658477198058148,0.1119689078200679,0.44366434743169736,2202
q2024_3,quarter_tree,tree_raw,kpx_group_3,0.544106759823209,0.1447185699485551,0.23293208959497314,2202
q2024_3,quarter_tree,tree_calibrated,kpx_group_1,0.592669780002519,0.12912207998268693,0.314461639987725,2202
q2024_3,quarter_tree,tree_calibrated,kpx_group_2,0.6541870873429397,0.11571892383219214,0.42409309851807164,2202
q2024_3,quarter_tree,tree_calibrated,kpx_group_3,0.54589703799014,0.1446479586947779,0.23644203467505778,2202
q2024_4,quarter_tree,tree_raw,kpx_group_1,0.625805165375576,0.12055491764131396,0.37216524839246584,2208
q2024_4,quarter_tree,tree_raw,kpx_group_2,0.6213080408510958,0.12322454553566853,0.36584062723786004,2208
q2024_4,quarter_tree,tree_raw,kpx_group_3,0.5933982392256438,0.13666538620723484,0.32346186465852256,2208
q2024_4,quarter_tree,tree_calibrated,kpx_group_1,0.6362359411039213,0.12141859888734408,0.3938904810951868,2208
q2024_4,quarter_tree,tree_calibrated,kpx_group_2,0.6346576676979097,0.12358783599367781,0.39290317138949726,2208
q2024_4,quarter_tree,tree_calibrated,kpx_group_3,0.5782050518727281,0.14013544583109602,0.2965455495765522,2208
q2024_1,quarter_tree,tree_calibrated,mean,0.5874258263664223,0.150565055967383,0.3254167087002276,6552
q2024_1,quarter_tree,tree_raw,mean,0.5727781735059239,0.15143885461171744,0.29699520162356513,6552
q2024_2,quarter_tree,tree_calibrated,mean,0.595611034387811,0.12777991789272228,0.31900198666834434,6552
q2024_2,quarter_tree,tree_raw,mean,0.5958452920618511,0.12620771108130366,0.31789829520500584,6552
q2024_3,quarter_tree,tree_calibrated,mean,0.5975846351118662,0.12982965416988565,0.32499892439361816,6606
q2024_3,quarter_tree,tree_raw,mean,0.6007127096992305,0.12802511909473235,0.32945053849319333,6606
q2024_4,quarter_tree,tree_calibrated,mean,0.6163662202248531,0.1283806269040393,0.36111306735374543,6624
q2024_4,quarter_tree,tree_raw,mean,0.6135038151507719,0.1268149497947391,0.3538225800962828,6624
year_2023,yearly,blend_tree_cal_pinn0.1,mean,0.5792460986580459,0.14557312494838148,0.30406532226447314,17515
year_2023,yearly,blend_tree_cal_pinn0.2,mean,0.5837106451511439,0.14358681959619324,0.31100810989848104,17515
year_2023,yearly,blend_tree_cal_pinn0.3,mean,0.5886327901543962,0.14200468150736412,0.31927026181615653,17515
year_2023,yearly,blend_tree_cal_pinn0.5,mean,0.5973029675648536,0.14024192525852253,0.33484786038822967,17515
year_2023,yearly,pinn_mixed_g3,mean,0.6058293827916712,0.1443596245260298,0.3560183901093723,17515
year_2023,yearly,pinn_standard,mean,0.6058293827916712,0.1443596245260298,0.3560183901093723,17515
year_2023,yearly,tree_calibrated,mean,0.5755472933010866,0.14794903986001445,0.29904362646218763,17515
year_2023,yearly,tree_raw,mean,0.5725606941092922,0.14674790689387612,0.29186929511246057,17515
year_2024,yearly,blend_tree_cal_pinn0.1,mean,0.6063045558715391,0.1321381342384317,0.3447472459815099,26334
year_2024,yearly,blend_tree_cal_pinn0.2,mean,0.6121029999690198,0.12968311805235352,0.3538891179903933,26334
year_2024,yearly,blend_tree_cal_pinn0.3,mean,0.6167886188174031,0.1278165923077585,0.36139382994256475,26334
year_2024,yearly,blend_tree_cal_pinn0.5,mean,0.6250705634551952,0.12599717192522442,0.37613829883561484,26334
year_2024,yearly,pinn_mixed_g3,mean,0.6214373934790801,0.13344293237139637,0.37631771932955665,26334
year_2024,yearly,pinn_standard,mean,0.6191953696087356,0.1347409389042092,0.3731316781216804,26334
year_2024,yearly,tree_calibrated,mean,0.6005864889095683,0.13519327549523477,0.33636625331437137,26334
year_2024,yearly,tree_raw,mean,0.5968999592742192,0.13405649524917804,0.3278564137976166,26334
