fold,fold_type,val_start,val_end,feature_block,group,score,nmae,ficr,n
q2024_1,quarter,2024-01-01 01:00:00,2024-04-01 01:00:00,lead,kpx_group_2,0.6001116321178757,0.14848403903837312,0.34870730327412447,2184.0
q2024_1,quarter,2024-01-01 01:00:00,2024-04-01 01:00:00,lead,kpx_group_3,0.5228079455222141,0.1696598415459004,0.21527573259032853,2184.0
q2024_1,quarter,2024-01-01 01:00:00,2024-04-01 01:00:00,lead,mean,0.5703522223758067,,,
q2024_1,quarter,2024-01-01 01:00:00,2024-04-01 01:00:00,ldaps,kpx_group_1,0.589312011815904,0.13371748294158112,0.31234150657338916,2184.0
q2024_1,quarter,2024-01-01 01:00:00,2024-04-01 01:00:00,ldaps,kpx_group_2,0.6142141237533385,0.1482988810035143,0.37672712851019124,2184.0
q2024_1,quarter,2024-01-01 01:00:00,2024-04-01 01:00:00,ldaps,kpx_group_3,0.522211712903252,0.1682146678162353,0.21263809362273933,2184.0
q2024_1,quarter,2024-01-01 01:00:00,2024-04-01 01:00:00,ldaps,mean,0.5752459494908315,,,
q2024_1,quarter,2024-01-01 01:00:00,2024-04-01 01:00:00,gfs,kpx_group_1,0.5832831995015817,0.13375345264160726,0.30031985164477065,2184.0
q2024_1,quarter,2024-01-01 01:00:00,2024-04-01 01:00:00,gfs,kpx_group_2,0.6167163716399737,0.14985039226921734,0.3832831355491648,2184.0
q2024_1,quarter,2024-01-01 01:00:00,2024-04-01 01:00:00,gfs,kpx_group_3,0.5159638314628149,0.17067929162322462,0.20260695454885436,2184.0
q2024_1,quarter,2024-01-01 01:00:00,2024-04-01 01:00:00,gfs,mean,0.5719878008681234,,,
q2024_1,quarter,2024-01-01 01:00:00,2024-04-01 01:00:00,lead_ldaps_gfs,kpx_group_1,0.5958714341628539,0.1330606914106554,0.32480355973636327,2184.0
q2024_1,quarter,2024-01-01 01:00:00,2024-04-01 01:00:00,lead_ldaps_gfs,kpx_group_2,0.6164236700617762,0.1462772404963938,0.37912458061994614,2184.0
q2024_1,quarter,2024-01-01 01:00:00,2024-04-01 01:00:00,lead_ldaps_gfs,kpx_group_3,0.521587579270255,0.1699826109141431,0.2131577694546531,2184.0
q2024_1,quarter,2024-01-01 01:00:00,2024-04-01 01:00:00,lead_ldaps_gfs,mean,0.577960894498295,,,
q2024_2,quarter,2024-04-01 01:00:00,2024-07-01 01:00:00,baseline,kpx_group_1,0.5863697993489805,0.12826346310891257,0.30100306180687364,2184.0
q2024_2,quarter,2024-04-01 01:00:00,2024-07-01 01:00:00,baseline,kpx_group_2,0.6286749149192223,0.11873620690172221,0.3760860367401668,2184.0
q2024_2,quarter,2024-04-01 01:00:00,2024-07-01 01:00:00,baseline,kpx_group_3,0.5531266930964379,0.13946761233604799,0.2457209985289239,2184.0
q2024_2,quarter,2024-04-01 01:00:00,2024-07-01 01:00:00,baseline,mean,0.5893904691215469,,,
q2024_2,quarter,2024-04-01 01:00:00,2024-07-01 01:00:00,lead,kpx_group_1,0.5778116419438456,0.12985324309860954,0.2854765269863007,2184.0
q2024_2,quarter,2024-04-01 01:00:00,2024-07-01 01:00:00,lead,kpx_group_2,0.6319708377081945,0.1169866902907098,0.3809283657070988,2184.0
q2024_2,quarter,2024-04-01 01:00:00,2024-07-01 01:00:00,lead,kpx_group_3,0.5564829915797582,0.14031584610129158,0.2532818292608079,2184.0
q2024_2,quarter,2024-04-01 01:00:00,2024-07-01 01:00:00,lead,mean,0.5887551570772661,,,
q2024_2,quarter,2024-04-01 01:00:00,2024-07-01 01:00:00,ldaps,kpx_group_1,0.5807341138489781,0.13057383596097866,0.29204206365893487,2184.0
q2024_2,quarter,2024-04-01 01:00:00,2024-07-01 01:00:00,ldaps,kpx_group_2,0.6428730568864346,0.11619970882036076,0.40194582259323003,2184.0
q2024_2,quarter,2024-04-01 01:00:00,2024-07-01 01:00:00,ldaps,kpx_group_3,0.5572103647927972,0.13990547122639094,0.25432620081198526,2184.0
q2024_2,quarter,2024-04-01 01:00:00,2024-07-01 01:00:00,ldaps,mean,0.5936058451760701,,,
q2024_2,quarter,2024-04-01 01:00:00,2024-07-01 01:00:00,gfs,kpx_group_1,0.5812646356267452,0.12795468649688554,0.29048395775037594,2184.0
q2024_2,quarter,2024-04-01 01:00:00,2024-07-01 01:00:00,gfs,kpx_group_2,0.6403095366385223,0.11692619197558399,0.39754526525262845,2184.0
q2024_2,quarter,2024-04-01 01:00:00,2024-07-01 01:00:00,gfs,kpx_group_3,0.5578131589684738,0.1380713122515968,0.2536976301885445,2184.0
q2024_2,quarter,2024-04-01 01:00:00,2024-07-01 01:00:00,gfs,mean,0.5931291104112472,,,
q2024_2,quarter,2024-04-01 01:00:00,2024-07-01 01:00:00,lead_ldaps_gfs,kpx_group_1,0.5788263193221568,0.13025401624611538,0.28790665489042905,2184.0
q2024_2,quarter,2024-04-01 01:00:00,2024-07-01 01:00:00,lead_ldaps_gfs,kpx_group_2,0.6386759378981,0.11804492256002531,0.39539679835622515,2184.0
q2024_2,quarter,2024-04-01 01:00:00,2024-07-01 01:00:00,lead_ldaps_gfs,kpx_group_3,0.5634870564025488,0.13645325439941006,0.2634273672045077,2184.0
