candidate,pinn_weight,score,nmae,ficr
blend:pinn_unison+tree_own_calibrated,0.7000000000000001,0.5862291761441547,0.13880267640982935,0.3112610286981389
blend:pinn_unison+tree_own_calibrated,0.65,0.5860619083688619,0.13816034566998306,0.31028416240770673
blend:pinn_unison+pinn_vestas_backbone_on_group3_weather,0.9,0.5857492529314516,0.14487481571910477,0.3163733215820079
blend:pinn_unison+tree_own_raw,0.7000000000000001,0.585521637891198,0.13841965000724724,0.30946292578964324
blend:pinn_unison+tree_group2_proxy_same_time,0.15000000000000002,0.5855143424843116,0.14163822231690856,0.31266690728553176
blend:pinn_unison+tree_group2_transfer_group3_features,0.15000000000000002,0.5854191516681155,0.1407114297303734,0.31154973306660455
blend:pinn_unison+tree_own_calibrated,0.6000000000000001,0.5853991595629342,0.1377821604205243,0.30858047954639267
blend:pinn_unison+pinn_vestas_group2_proxy_same_time,0.1,0.5852008697127788,0.1606935640115364,0.33109530343709415
blend:pinn_unison+tree_own_raw,0.65,0.5851947065155314,0.1377128219849022,0.30810223501596495
blend:pinn_unison+pinn_vestas_backbone_on_group3_weather,0.8500000000000001,0.584935889492677,0.14403021087102016,0.3139019898563744
blend:pinn_unison+tree_group2_transfer_group3_features,0.1,0.5841697270939573,0.14167910315134358,0.31001855733925826
blend:pinn_unison+tree_own_calibrated,0.55,0.5839761693853004,0.1376734313234265,0.3056257700940272
blend:pinn_unison+tree_own_raw,0.55,0.583716405767537,0.13710541698230028,0.30453822851737444
blend:pinn_unison+pinn_vestas_group2_proxy_same_time,0.05,0.5836366406989586,0.16242197660275923,0.3296952580006764
blend:pinn_unison+tree_group2_proxy_same_time,0.1,0.5832736844530348,0.14268471774512145,0.3092320866511913
blend:pinn_unison+tree_own_calibrated,0.5,0.583202153944127,0.1378016615956353,0.30420596948388945
blend:pinn_unison+pinn_vestas_backbone_on_group3_weather,0.8,0.5830352232997709,0.14333336938590732,0.30940381598544897
pinn_vestas_group2_proxy_same_time,,0.5828291364565631,0.16423212505896112,0.3298903979720873
blend:pinn_unison+pinn_vestas_group2_proxy_same_time,0.0,0.5828291364565631,0.16423212505896112,0.3298903979720873
blend:pinn_unison+tree_own_raw,0.5,0.5818805722856746,0.13720421096954594,0.30096535554089515
blend:pinn_unison+pinn_vestas_backbone_on_group3_weather,0.75,0.5817473720108923,0.14277485555098968,0.30626959957277433
blend:pinn_unison+tree_group2_transfer_group3_features,0.05,0.5813080552429347,0.1427890868085389,0.30540519729440835
blend:pinn_unison+tree_own_raw,0.45,0.5810305915489983,0.13752162656695704,0.29958280966495354
blend:pinn_unison+tree_group2_proxy_same_time,0.05,0.5805672152562393,0.14389199776825423,0.30502642828073284
tree_group2_transfer_group3_features,,0.5803724506702825,0.14404858796996778,0.3047934893105329
blend:pinn_unison+tree_group2_transfer_group3_features,0.0,0.5803724506702825,0.14404858796996778,0.3047934893105329
blend:pinn_unison+tree_own_calibrated,0.45,0.5794604537967849,0.13816855972011197,0.29708946731368174
blend:pinn_unison+pinn_vestas_backbone_on_group3_weather,0.7000000000000001,0.5793970627322094,0.14233245962820182,0.30112658509262047
tree_group2_proxy_same_time,,0.5791921528326869,0.14524122166325273,0.3036255273286265
blend:pinn_unison+tree_group2_proxy_same_time,0.0,0.5791921528326869,0.14524122166325273,0.3036255273286265
blend:pinn_unison+tree_own_raw,0.4,0.5786164692721805,0.13806892563260242,0.29530186417696347
blend:pinn_unison+pinn_vestas_backbone_on_group3_weather,0.65,0.578044473309036,0.14201160838794677,0.29810055500601873
blend:pinn_unison+pinn_vestas_backbone_on_group3_weather,0.6000000000000001,0.5775042556129737,0.14180345137043163,0.296811962596379
blend:pinn_unison+tree_own_calibrated,0.4,0.5771241788035266,0.13876393729414668,0.29301229490119995
blend:pinn_unison+tree_own_calibrated,0.35000000000000003,0.5767460171513704,0.13954569337826928,0.29303772768101016
blend:pinn_unison+tree_own_raw,0.35000000000000003,0.5763003521267267,0.13879727239093073,0.29139797664438427
blend:pinn_unison+pinn_vestas_backbone_on_group3_weather,0.55,0.5750254314371691,0.14172922715200728,0.2917800900263456
